stage,case_id,attempt_id,kind,method,family,context,pair,payload,nll,body_nll,token_count,byte_count,format,kem
6,L-c0-n32-r0,f0a66d6b-c08a-4fba-9d2e-d0ecee09b294,encrypted,L,,0,c0-n32-r0,32,5.490950774812131,5.371591165188276,208,797,True,True
6,F-c0-n32-r0,5b854e0d-4225-4829-8a3b-43a44c835df4,encrypted,F,,0,c0-n32-r0,32,5.823649178850558,5.465446462011918,200,670,True,True
6,F-c0-n32-r1,f4ff60f4-ba0b-40d9-bc98-74ebabbe8413,encrypted,F,,0,c0-n32-r1,32,5.915865658537357,5.914649111819263,200,868,True,True
6,L-c0-n32-r1,5a45929b-e342-40e7-8f73-5473ddbc131b,encrypted,L,,0,c0-n32-r1,32,6.224087258476822,6.265760374909909,208,1033,True,True
6,F-c0-n128-r0,1df95187-e3e3-4979-9620-59feaa711ffc,encrypted,F,,0,c0-n128-r0,128,5.4593650849439985,5.346692968701754,392,1805,True,True
6,L-c0-n128-r0,4717ca65-63cc-49b3-a184-43d0c4864e26,encrypted,L,,0,c0-n128-r0,128,5.457971520781823,5.3614013327497165,400,1804,True,True
6,L-c0-n128-r1,7c476879-6c19-432f-b638-0e0688109088,encrypted,L,,0,c0-n128-r1,128,5.83664627679913,5.898805782588793,400,1595,True,True
6,F-c0-n128-r1,950df0d3-d96b-4436-b629-f5a8c83ce95e,encrypted,F,,0,c0-n128-r1,128,5.56593276576242,5.463467086911757,392,1576,True,True
6,F-c1-n32-r0,14834e00-bf27-4cbc-9d3a-2434e0d3a5d2,encrypted,F,,1,c1-n32-r0,32,5.956479671843265,5.832131405532001,200,970,True,True
6,L-c1-n32-r0,393e27bd-fa1c-4265-aebb-7d7b8013da34,encrypted,L,,1,c1-n32-r0,32,5.988722482967637,5.710877984302048,208,847,True,True
6,L-c1-n32-r1,47a722fe-1d7b-42e6-b942-7581d18f6dff,encrypted,L,,1,c1-n32-r1,32,5.856745295291142,5.557846716139774,208,1026,True,True
6,F-c1-n32-r1,f43dedf5-4ef5-4c31-b55c-416726c28661,encrypted,F,,1,c1-n32-r1,32,6.133318456362605,5.949844359217454,200,898,True,True
6,L-c1-n128-r0,450b03c1-14b3-4e6e-bb02-6dbdef1534e0,encrypted,L,,1,c1-n128-r0,128,5.828274992118874,5.734001221508943,400,1857,True,True
6,F-c1-n128-r0,74fb8ef2-bd30-49aa-a1b5-ea298383b932,encrypted,F,,1,c1-n128-r0,128,5.6580579420004975,5.471755218370244,392,1699,True,True
6,F-c1-n128-r1,12466c7a-3e92-4f12-b5c3-d75fa0b789a3,encrypted,F,,1,c1-n128-r1,128,5.8162257917966524,5.700777204602536,392,1741,True,True
6,L-c1-n128-r1,be084141-4efa-4231-ac0e-b9306ea8c4bc,encrypted,L,,1,c1-n128-r1,128,5.961886082523787,5.878872661476204,400,1709,True,True
6,L-c2-n32-r0,8f0bdbd8-0e76-430d-86f7-513cec6a3946,encrypted,L,,2,c2-n32-r0,32,5.833355691710368,5.555461918215436,208,1144,True,True
6,F-c2-n32-r0,e067c247-4d13-417b-8322-c360b6f70fde,encrypted,F,,2,c2-n32-r0,32,5.530774788750475,5.347849957955435,200,932,True,True
6,F-c2-n32-r1,a3473798-4ec1-4351-baed-fe40f1ad6cfd,encrypted,F,,2,c2-n32-r1,32,5.608623430035987,5.551492449535054,200,658,True,True
6,L-c2-n32-r1,ecd4f2f2-0b57-4813-95f5-8dd93526803a,encrypted,L,,2,c2-n32-r1,32,5.382042224663767,5.284851193152044,208,817,True,True
6,F-c2-n128-r0,782d1886-aed3-43d0-aef6-0baa9f894b32,encrypted,F,,2,c2-n128-r0,128,5.457009614568631,5.165165015559701,392,1198,True,True
6,L-c2-n128-r0,75f73e5e-a754-49c2-bb2c-be2524399046,encrypted,L,,2,c2-n128-r0,128,5.8920190128496905,5.796129161985645,400,2090,True,True
6,L-c2-n128-r1,5a38e9bc-63b5-44d9-ad73-5eab98859253,encrypted,L,,2,c2-n128-r1,128,5.407642995310906,5.264391856666641,400,1758,True,True
6,F-c2-n128-r1,5720171c-92b5-4973-84dc-7b24c6080e43,encrypted,F,,2,c2-n128-r1,128,5.788768711469045,5.727530442184441,392,1775,True,True
6,F-c3-n32-r0,895b8b55-da7b-4497-8591-ec4af7104716,encrypted,F,,3,c3-n32-r0,32,6.31413937904583,5.949673233002809,200,754,True,True
6,L-c3-n32-r0,643b943d-901a-4118-a75c-0ea46c67802c,encrypted,L,,3,c3-n32-r0,32,5.909906652914642,5.605964776562562,208,1056,True,True
6,L-c3-n32-r1,0dc1583f-2ed3-4c20-b0fa-0a27ddfe39d5,encrypted,L,,3,c3-n32-r1,32,5.741372254620172,5.503717258959638,208,875,True,True
6,F-c3-n32-r1,95313d58-a7e3-4769-aec5-48bfde24d12f,encrypted,F,,3,c3-n32-r1,32,5.710986661000958,5.4227316731656,200,862,True,True
6,L-c3-n128-r0,d260dc4d-3328-4186-aa90-90c2cd4d9893,encrypted,L,,3,c3-n128-r0,128,5.349166974210078,5.163595310194576,400,1670,True,True
6,F-c3-n128-r0,b980eda4-41fb-4d02-9629-b1f0ef844239,encrypted,F,,3,c3-n128-r0,128,5.513778923458589,5.3224090943549776,392,1676,True,True
6,F-c3-n128-r1,a8633a8f-6057-4844-b6a7-2cd71cc09aa0,encrypted,F,,3,c3-n128-r1,128,5.750956461865601,5.663745730779634,392,1824,True,True
6,L-c3-n128-r1,d802d176-a62d-4178-9fa8-03135203a78a,encrypted,L,,3,c3-n128-r1,128,6.106124291812207,6.013017232645274,400,1784,True,True
6,control-L-c0-n32-r0-A,389134be-b210-4c25-a420-28df1ca66826,control,L,A,0,c0-n32-r0,,1.1869221460756194,1.2154407298091905,208,1021,False,
6,control-L-c0-n32-r0-B,d326de46-eba3-44bd-a83b-4fed2a0a871e,control,L,B,0,c0-n32-r0,,0.9241438031695595,0.9411252929514246,208,1078,False,
6,control-L-c0-n32-r0-C,64d2c385-7d96-469f-80fb-ad2c875a18bb,control,L,C,0,c0-n32-r0,,5.86635609959737,5.602742732726784,208,1098,False,
6,control-F-c0-n32-r0-A,74da15b0-38c8-46da-8c37-df69b7df09fd,control,F,A,0,c0-n32-r0,,2.0178133924259667,2.0877730834863177,200,997,False,
