stage,method,payload_bytes,attempted,recovered,independent_replays,exact_replays,delivered_token_min,delivered_token_max,success_bits_per_token,attempt_mean_bits_per_token,bytes_per_inclusive_second,mean_job_seconds,encode_seconds,receive_seconds,score_seconds,evaluated_tokens
6,Calgacus,32,4,2,0,0,95,102,2.602270381836945,1.3011351909184725,0.46688611902404314,34.269598833749114,6.279343829999561,6.252983575750477,6.616430109749672,2563
6,Calgacus,128,4,2,0,0,184,193,5.435458436584817,2.7177292182924084,1.2466179700709958,51.338903767250486,11.73080895449948,11.701754530500693,12.683209270499901,4731
6,L,32,8,8,2,2,208,208,1.2307692307692308,1.2307692307692308,0.8506021915709887,37.62040624524934,7.372794309999335,7.336116981623945,7.592320301124801,5262
6,L,128,8,8,2,2,400,400,2.56,2.56,2.070929271269972,61.80800173899979,15.406896902499284,15.367074218999733,15.864856864124704,9870
6,F,32,8,8,2,2,200,200,1.28,1.28,0.8757507944304306,36.54007533137565,7.05043431175136,7.013736475625137,7.264773768125451,5070
6,F,128,8,8,2,2,392,392,2.6122448979591835,2.6122448979591835,2.1071596621541975,60.7452782524997,15.025564620000296,14.984629987374774,15.454378411125617,9678
8,F,32,4,4,2,2,200,200,1.28,1.28,0.8631458373904991,37.07368860949828,7.061927942249895,7.034144338498663,7.3131664722504865,2535
8,F,128,4,4,2,2,392,392,2.6122448979591835,2.6122448979591835,2.1092736303855797,60.68439777374988,14.969391565749902,14.962001249249624,15.45476503224927,4839
8,R,32,4,2,1,1,563,1783,0.2991425830495035,0.14957129152475174,0.08628827724166017,185.42495587425128,100.8971562347524,68.28444233649861,69.82202183600384,11093
8,R,128,4,0,0,0,,,,0.0,0.0,151.02883847199973,135.66996787599965,,,7981
9,R,32,6,4,2,2,752,905,0.3069936316211732,0.20466242108078217,0.15066175517788138,141.59753620383466,73.73694005666646,38.727187319500445,39.650152752001304,14147
