case_id,kind,family,job_seconds,evaluated_tokens,peak_sampled_vram_mib,load_seconds,encode_seconds,generation_seconds,receiver_seconds,observer_seconds
historical-prefix-c1,historical_prefix,,130.13988344399695,1764,5006,14.576650887000142,,,,114.57264984000358
historical-prefix-c3,historical_prefix,,61.32448812399525,949,5006,14.45631099199818,,,,46.28526308599976
R-c0,encrypted,,138.12697054399905,2613,5006,14.440519333002158,40.51752259199566,,40.63578780899843,41.632472820005205
B-fixed-c0,control,B-fixed,94.40634885300096,1742,5006,14.464639441001054,,39.14719108400459,,40.201720834003936
B-stop-c0,control,B-stop,142.98863655500463,1993,5006,15.242283432002296,,126.92056010899978,,
R-c1,encrypted,,116.8275191520006,2283,5006,14.297485423994658,33.44315902200469,,33.622187486005714,34.31005475499842
B-fixed-c1,control,B-fixed,83.24346319300093,1522,5006,14.57800157499878,,33.38261402500211,,34.18856494299689
B-stop-c1,control,B-stop,141.33602213099948,2390,5006,14.757491297001252,,61.876805763997254,,63.56807300999935
R-c2,encrypted,,156.78165201200318,1993,5006,14.724864450996392,141.02339098200173,,,
B-fixed-c2,control,B-fixed,285.3480934670006,3986,5006,14.675379618995066,,134.5552481850027,,135.39583787599986
B-stop-c2,control,B-stop,150.91636590900453,1993,5006,14.525013111997396,,135.54952199800027,,
R-c3,encrypted,,144.01306525800464,2742,5006,14.697991870001715,42.335865339999145,,42.410932427999796,43.47438805799902
B-fixed-c3,control,B-fixed,100.80130292099784,1828,5006,14.414209269998537,,42.39974896200147,,43.163862688001245
B-stop-c3,control,B-stop,120.60599749099492,2122,5006,14.367329250999319,,52.1112829479971,,53.046512234002876
R-c4,encrypted,,162.64895545600302,1993,5006,15.048619733999658,146.88289350999548,,,
B-fixed-c4,control,B-fixed,287.4626173200013,3986,5006,14.325164042995311,,135.34708703300566,,136.76537273900612
B-stop-c4,control,B-stop,150.89582799599884,1993,5006,14.855862543001422,,135.13417201899574,,
R-c5,encrypted,,131.18705480099743,2523,5006,14.63184300300054,38.218808894001995,,38.23984155499784,39.18369537500257
B-fixed-c5,control,B-fixed,93.32656942299946,1682,5006,14.797245866000594,,38.443486235999444,,39.37034753300395
B-stop-c5,control,B-stop,120.56826077100413,2106,5006,14.484300682001049,,52.096453828999074,,53.12901022600272
replay-R-c0,replay,,56.01551947899861,871,5006,14.677145975001622,,,40.55564504599897,
replay-R-c3,replay,,58.12726455200027,914,5006,14.83317973499652,,,42.58903244999965,
