case_id,phase,kind,family,context,delivered,authenticated_exact,failure,tokens,first_completion,stable_bits,valid_utf8,canonical_bytes,all_candidates_member,stable_target_reached,ends_at_first_completion,filler_consistent,canonical_replay_consistent,kem_canonical,format_accepted,format_and_kem_canonical,mean_nll_bits,mean_log2_rank,utf8_bytes
historical-prefix-c1,retrospective,historical_prefix,,1,True,False,,1752,1752,801,True,True,True,True,True,False,False,True,False,False,0.4735502683140827,0.15993562862465371,7483
historical-prefix-c3,retrospective,historical_prefix,,3,True,False,,938,938,800,True,True,True,True,True,True,True,True,True,True,0.8774087706842593,0.3211528730529302,4291
R-c0,prospective,encrypted,,0,True,True,,862,862,800,True,True,True,True,True,True,True,True,True,True,0.9700918021950395,0.34171916005320707,3909
B-fixed-c0,prospective,control,B-fixed,0,True,False,,862,,235,True,True,True,False,,,,,False,False,0.2938477593919544,0.09980721816036424,2457
B-stop-c0,prospective,control,B-stop,0,False,False,capacity_exhaustion,1984,,299,,,,,,,,,,,,,
R-c1,prospective,encrypted,,1,True,True,,752,752,800,True,True,True,True,True,True,True,True,True,True,1.113110725801957,0.38594851067534813,3297
B-fixed-c1,prospective,control,B-fixed,1,True,False,,752,,449,True,True,True,False,,,,,False,False,0.6336983685550104,0.20916553383267428,3175
B-stop-c1,prospective,control,B-stop,1,True,False,,1186,1186,803,True,True,True,True,True,False,False,True,False,False,0.7026720540696247,0.22932657151628935,5297
R-c2,prospective,encrypted,,2,False,False,capacity_exhaustion,1984,,,,,,,,,,,,,,,
B-fixed-c2,prospective,control,B-fixed,2,True,False,,1984,,658,True,True,True,False,,,,,False,False,0.3469026788202062,0.12406137828978574,9863
B-stop-c2,prospective,control,B-stop,2,False,False,capacity_exhaustion,1984,,658,,,,,,,,,,,,,
R-c3,prospective,encrypted,,3,True,True,,905,905,800,True,True,True,True,True,True,True,True,True,True,0.9052343309008019,0.31243047952420056,4489
B-fixed-c3,prospective,control,B-fixed,3,True,False,,905,,735,True,True,True,False,,,,,False,False,0.8258571051755719,0.284700537632259,4128
B-stop-c3,prospective,control,B-stop,3,True,False,,1052,1052,801,True,True,True,True,True,True,False,False,False,False,0.7729726775698748,0.26805497771870634,4819
R-c4,prospective,encrypted,,4,False,False,capacity_exhaustion,1984,,,,,,,,,,,,,,,
B-fixed-c4,prospective,control,B-fixed,4,True,False,,1984,,613,True,True,True,False,,,,,False,False,0.3229743223304614,0.11962277328827074,8294
B-stop-c4,prospective,control,B-stop,4,False,False,capacity_exhaustion,1984,,613,,,,,,,,,,,,,
R-c5,prospective,encrypted,,5,True,True,,832,832,800,True,True,True,True,True,True,True,True,True,True,0.9943417586191833,0.3335113708157685,3748
B-fixed-c5,prospective,control,B-fixed,5,True,False,,832,,711,True,True,True,False,,,,,False,False,0.8761862005652028,0.3078378465327585,4187
B-stop-c5,prospective,control,B-stop,5,True,False,,1044,1044,814,True,True,True,True,True,False,False,False,False,False,0.796175823744844,0.2815250473467165,5272
replay-R-c0,fresh_receiver,replay,,0,True,True,,862,,,,,,,,,,,,,,,3909
replay-R-c3,fresh_receiver,replay,,3,True,True,,905,,,,,,,,,,,,,,,4489
