context,common_tokens,common_prefix_agreement,fixed_first_prefix_counterfactual,counterfactual_scope,fixed_tokens,stop_generated_tokens,stop_delivered,fixed_format,stop_format,fixed_first_completion,stop_first_completion
0,862,True,,,862,1984,False,False,,,
1,752,True,,,752,1186,True,False,False,,1186
2,1984,True,,,1984,1984,False,False,,,
3,905,True,,,905,1052,True,False,False,,1052
4,1984,True,,,1984,1984,False,False,,,
5,832,True,,,832,1044,True,False,False,,1044
