case_id,phase,method,payload_class_bytes,budget,stable_bits,required_envelope_bits,complete_envelope_by_budget,authenticated_by_budget,useful_payload_bits,successful_payload_bits_per_token,envelope_bits_recovered,is_hpke
F-c2-n128-r0,main_fixed,F,128,1536,1568,1568,True,True,1024,2.6122448979591835,1568,True
F-c2-n128-r0,main_fixed,F,128,1984,1568,1568,True,True,1024,2.6122448979591835,1568,True
R-c3-n32-r0,main_fixed,R,32,512,530,800,False,False,0,0,0,True
R-c3-n32-r0,main_fixed,R,32,1024,669,800,False,False,0,0,0,True
R-c3-n32-r0,main_fixed,R,32,1536,742,800,False,False,0,0,0,True
R-c3-n32-r0,main_fixed,R,32,1984,800,800,True,True,256,0.1435782389231632,800,True
F-c3-n32-r0,main_fixed,F,32,512,800,800,True,True,256,1.28,800,True
F-c3-n32-r0,main_fixed,F,32,1024,800,800,True,True,256,1.28,800,True
F-c3-n32-r0,main_fixed,F,32,1536,800,800,True,True,256,1.28,800,True
F-c3-n32-r0,main_fixed,F,32,1984,800,800,True,True,256,1.28,800,True
F-c3-n128-r0,main_fixed,F,128,512,1568,1568,True,True,1024,2.6122448979591835,1568,True
F-c3-n128-r0,main_fixed,F,128,1024,1568,1568,True,True,1024,2.6122448979591835,1568,True
F-c3-n128-r0,main_fixed,F,128,1536,1568,1568,True,True,1024,2.6122448979591835,1568,True
F-c3-n128-r0,main_fixed,F,128,1984,1568,1568,True,True,1024,2.6122448979591835,1568,True
R-c3-n128-r0,main_fixed,R,128,512,550,1568,False,False,0,0,0,True
R-c3-n128-r0,main_fixed,R,128,1024,892,1568,False,False,0,0,0,True
R-c3-n128-r0,main_fixed,R,128,1536,1185,1568,False,False,0,0,0,True
R-c3-n128-r0,main_fixed,R,128,1984,1254,1568,False,False,0,0,0,True
