case_id,phase,method,payload_class_bytes,budget,stable_bits,required_envelope_bits,complete_envelope_by_budget,authenticated_by_budget,useful_payload_bits,successful_payload_bits_per_token,envelope_bits_recovered,is_hpke
diagnostic-qual-synthetic-32,diagnostic,R,32,512,552,800,False,False,,,0,False
diagnostic-qual-synthetic-32,diagnostic,R,32,1024,740,800,False,False,,,0,False
diagnostic-qual-synthetic-32,diagnostic,R,32,1536,800,800,True,False,,,800,False
diagnostic-qual-synthetic-32,diagnostic,R,32,1984,800,800,True,False,,,800,False
diagnostic-qual-synthetic-128,diagnostic,R,128,512,556,1568,False,False,,,0,False
diagnostic-qual-synthetic-128,diagnostic,R,128,1024,910,1568,False,False,,,0,False
diagnostic-qual-synthetic-128,diagnostic,R,128,1536,1229,1568,False,False,,,0,False
diagnostic-qual-synthetic-128,diagnostic,R,128,1984,1426,1568,False,False,,,0,False
diagnostic-qual-HPKE-32,diagnostic,R,32,512,358,800,False,False,0,0,0,True
diagnostic-qual-HPKE-32,diagnostic,R,32,1024,419,800,False,False,0,0,0,True
diagnostic-qual-HPKE-32,diagnostic,R,32,1536,705,800,False,False,0,0,0,True
diagnostic-qual-HPKE-32,diagnostic,R,32,1984,800,800,True,True,256,0.13182286302780638,800,True
diagnostic-qual-HPKE-128,diagnostic,R,128,512,569,1568,False,False,0,0,0,True
diagnostic-qual-HPKE-128,diagnostic,R,128,1024,1063,1568,False,False,0,0,0,True
diagnostic-qual-HPKE-128,diagnostic,R,128,1536,1408,1568,False,False,0,0,0,True
diagnostic-qual-HPKE-128,diagnostic,R,128,1984,1529,1568,False,False,0,0,0,True
F-c0-n32-r0,main_fixed,F,32,512,800,800,True,True,256,1.28,800,True
F-c0-n32-r0,main_fixed,F,32,1024,800,800,True,True,256,1.28,800,True
F-c0-n32-r0,main_fixed,F,32,1536,800,800,True,True,256,1.28,800,True
F-c0-n32-r0,main_fixed,F,32,1984,800,800,True,True,256,1.28,800,True
R-c0-n32-r0,main_fixed,R,32,512,307,800,False,False,0,0,0,True
R-c0-n32-r0,main_fixed,R,32,1024,450,800,False,False,0,0,0,True
R-c0-n32-r0,main_fixed,R,32,1536,569,800,False,False,0,0,0,True
R-c0-n32-r0,main_fixed,R,32,1984,614,800,False,False,0,0,0,True
R-c0-n128-r0,main_fixed,R,128,512,295,1568,False,False,0,0,0,True
R-c0-n128-r0,main_fixed,R,128,1024,551,1568,False,False,0,0,0,True
R-c0-n128-r0,main_fixed,R,128,1536,754,1568,False,False,0,0,0,True
R-c0-n128-r0,main_fixed,R,128,1984,889,1568,False,False,0,0,0,True
F-c0-n128-r0,main_fixed,F,128,512,1568,1568,True,True,1024,2.6122448979591835,1568,True
F-c0-n128-r0,main_fixed,F,128,1024,1568,1568,True,True,1024,2.6122448979591835,1568,True
F-c0-n128-r0,main_fixed,F,128,1536,1568,1568,True,True,1024,2.6122448979591835,1568,True
F-c0-n128-r0,main_fixed,F,128,1984,1568,1568,True,True,1024,2.6122448979591835,1568,True
R-c1-n32-r0,main_fixed,R,32,512,388,800,False,False,0,0,0,True
R-c1-n32-r0,main_fixed,R,32,1024,418,800,False,False,0,0,0,True
R-c1-n32-r0,main_fixed,R,32,1536,451,800,False,False,0,0,0,True
R-c1-n32-r0,main_fixed,R,32,1984,476,800,False,False,0,0,0,True
F-c1-n32-r0,main_fixed,F,32,512,800,800,True,True,256,1.28,800,True
F-c1-n32-r0,main_fixed,F,32,1024,800,800,True,True,256,1.28,800,True
F-c1-n32-r0,main_fixed,F,32,1536,800,800,True,True,256,1.28,800,True
F-c1-n32-r0,main_fixed,F,32,1984,800,800,True,True,256,1.28,800,True
F-c1-n128-r0,main_fixed,F,128,512,1568,1568,True,True,1024,2.6122448979591835,1568,True
F-c1-n128-r0,main_fixed,F,128,1024,1568,1568,True,True,1024,2.6122448979591835,1568,True
F-c1-n128-r0,main_fixed,F,128,1536,1568,1568,True,True,1024,2.6122448979591835,1568,True
F-c1-n128-r0,main_fixed,F,128,1984,1568,1568,True,True,1024,2.6122448979591835,1568,True
R-c1-n128-r0,main_fixed,R,128,512,522,1568,False,False,0,0,0,True
R-c1-n128-r0,main_fixed,R,128,1024,845,1568,False,False,0,0,0,True
R-c1-n128-r0,main_fixed,R,128,1536,1095,1568,False,False,0,0,0,True
R-c1-n128-r0,main_fixed,R,128,1984,1314,1568,False,False,0,0,0,True
F-c2-n32-r0,main_fixed,F,32,512,800,800,True,True,256,1.28,800,True
F-c2-n32-r0,main_fixed,F,32,1024,800,800,True,True,256,1.28,800,True
F-c2-n32-r0,main_fixed,F,32,1536,800,800,True,True,256,1.28,800,True
F-c2-n32-r0,main_fixed,F,32,1984,800,800,True,True,256,1.28,800,True
R-c2-n32-r0,main_fixed,R,32,512,746,800,False,False,0,0,0,True
R-c2-n32-r0,main_fixed,R,32,1024,800,800,True,True,256,0.4547069271758437,800,True
R-c2-n32-r0,main_fixed,R,32,1536,800,800,True,True,256,0.4547069271758437,800,True
R-c2-n32-r0,main_fixed,R,32,1984,800,800,True,True,256,0.4547069271758437,800,True
R-c2-n128-r0,main_fixed,R,128,512,556,1568,False,False,0,0,0,True
R-c2-n128-r0,main_fixed,R,128,1024,815,1568,False,False,0,0,0,True
R-c2-n128-r0,main_fixed,R,128,1536,959,1568,False,False,0,0,0,True
R-c2-n128-r0,main_fixed,R,128,1984,1067,1568,False,False,0,0,0,True
F-c2-n128-r0,main_fixed,F,128,512,1568,1568,True,True,1024,2.6122448979591835,1568,True
F-c2-n128-r0,main_fixed,F,128,1024,1568,1568,True,True,1024,2.6122448979591835,1568,True
