position,stable_bits,released_bits,pending_underflow,low,high_inclusive,residual_width,residual_information_bits,selected_frequency,selected_information_bits,effective_interval_information_bits,table_entropy_bits
1,0,0,0,0,2219048959,2219048960,0.9527056472169946,33860,0.9527056472169959,0.9527056472169959,2.689557374772614
2,3,3,0,0,3697511999,3697512000,0.21609231652242045,13650,2.2633866693054228,2.2633866693054228,3.527483737578818
3,4,1,1,882246488,3047629035,2165382548,0.9880252243648222,9595,2.7719329089172575,2.771932907842402,3.682259825437512
4,8,4,1,778209312,2797682303,2019472992,1.0886682941387278,3820,4.100643077076889,4.1006430697739065,3.6237410237827454
5,12,4,0,88812160,3227968543,3139156384,0.4522702442675097,12734,2.3636019511161632,2.3636019501287833,1.4963731086704333
6,13,1,0,177624320,2999876121,2822251802,0.6058004347296873,29460,1.1535301900767885,1.1535301904621744,2.4518582267207814
7,14,1,0,355248640,2947796291,2592547652,0.7282766394545881,30101,1.1224762041939325,1.1224762047249028,2.5846664990892165
8,14,0,0,355248640,2899138551,2543889912,0.7556109073286521,64306,0.027334267556650037,0.027334267874063702,0.15949059268760937
9,14,0,2,1282527644,4256351095,2973823452,0.530328145053975,19153,1.7747172363345967,1.7747172377253222,1.5100115850166795
10,21,7,2,73419392,2251512703,2178093312,0.9795813839350629,375,7.449253214616757,7.449253238881087,1.9398902858660931
11,21,0,3,162825018,2256434789,2093609772,1.036654582667694,31497,1.0570731979089503,1.0570731987326336,1.1891709854665882
12,25,4,0,325650036,2950776521,2625126486,0.7102602084431098,41087,0.6736056256258797,0.6736056257754153,2.256441842377657
13,25,0,0,325650036,2947291627,2621641592,0.7121766796712699,65449,0.0019164711534089207,0.0019164712281585607,0.0164306499486485
14,26,1,0,651300072,3863547077,3212247006,0.41906431273822164,40150,0.7068876327079608,0.7068876330669526,1.4037044845114912
15,26,0,0,651300072,3743411313,3092111242,0.47405492332444865,63085,0.05499061045951541,0.054990610586225376,0.259700233841345
16,26,0,0,651300072,3050687050,2399386979,0.8399812882321598,50854,0.3659263644955474,0.3659263649077138,1.2301927783864584
17,27,1,0,1302600144,3871206583,2568606440,0.7416612875212252,35079,0.9016799991104418,0.9016799992890645,1.9391492598442865
18,27,0,0,1302600144,3449872976,2147272833,1.0001416339932838,54786,0.25848034607887316,0.2584803464720567,0.9989145022172251
19,27,0,1,457716640,2864814201,2407097562,0.83535252918632,36733,0.8352108940412152,0.835210895193037,2.3060728446957772
20,27,0,1,457716640,2295178030,1837461391,1.2249332098595822,50027,0.38958068051035166,0.389580680673263,0.9587020556136283
21,29,2,0,915433280,4286037733,3370604454,0.34963981140440836,60109,0.12470660150633235,0.12470660154482678,0.5659805734776152
22,31,2,0,428269972,2181255843,1752985872,1.2928327771140466,8521,2.943192964419392,2.9431929657096387,2.985644054036731
23,33,2,0,1356874120,3701642515,2344768396,0.8732017181318135,21915,1.5803689415879831,1.5803689410177653,1.5482314808077537
24,37,4,1,626166336,3963568607,3337402272,0.3639215545364678,2915,4.490719831912141,4.490719836404653,2.5466373746171516
25,37,0,1,626166336,3866709794,3240543459,0.40641136381250575,63634,0.04248980895387565,0.042489809276038196,0.2806327148678923
26,37,0,1,626166336,3865671411,3239505076,0.40687372763875373,65515,0.0004623634480924974,0.00046236382625051455,0.00538302560878682
27,41,4,0,672775824,2239933855,1567158032,1.4544964776984735,3963,4.047622748032016,4.047622750059721,1.1249765075647025
28,42,1,0,1345551648,3583897905,2238346258,0.9402139166434544,46802,0.4857174383249926,0.485717438944981,1.5634320470496015
29,45,3,0,724214464,4156600407,3432385944,0.32343536468272305,12562,2.38322144599986,2.3832214480392664,1.7744742234627309
30,49,4,0,232844288,2572497983,2339653696,0.8763521410070254,2792,4.552916773790348,4.5529167763243015,3.4357924004677045
31,51,2,2,552881328,3816743935,3263862608,0.39606681754284523,5714,3.519714679063628,3.519714676535822,2.7062467520193976
32,51,0,2,552881328,3661857876,3108976549,0.4662074115377237,62426,0.07014059362849141,0.0701405939948759,0.2900397558289829
33,51,0,2,552881328,2518050906,1965169579,1.127993334686959,41425,0.6617859230038234,0.6617859231492363,1.9611252632122465
34,51,0,2,552881328,2315044954,1762163627,1.2852992530260288,58766,0.1573059180836989,0.15730591833906993,0.6898597638350829
35,55,4,0,1037988236,2683348295,1645360060,1.3842438174118925,15298,2.098944567446728,2.0989445643858637,2.1631773528241633
36,55,0,0,1037988236,2652317029,1614328794,1.4117127005058023,64300,0.027468882897327986,0.027468883093911593,0.18267791230759187
37,55,0,0,1037988236,2430130052,1392141817,1.625340960501621,56516,0.2136282599516691,0.21362825999581864,0.9469092713076124
38,56,1,0,2075976472,3297626797,1221650326,1.8138157455843462,28755,1.1884747827233308,1.188474785082723,2.271654089660677
39,56,0,0,2075976472,3239057074,1163080603,1.884696065093479,62394,0.07088031870972639,0.07088031950913273,0.4414374319000625
40,56,0,0,2075976472,3238471416,1162494945,1.8854227032032114,65503,0.0007266376781842033,0.0007266381097318317,0.007874045181652262
41,57,1,1,400636700,2191633855,1790997156,1.261884099604412,25242,1.3764613965100543,1.376461396401202,1.023297818620479
42,57,0,5,12602912,2835084991,2822482080,0.6056827246885206,6455,3.343798619805447,3.3437986250841076,1.001964749295203
43,63,6,0,25205824,3370787685,3345581862,0.3603900004924938,38841,0.7547072756031024,0.7547072758039753,1.4656658809405287
44,65,2,0,84146420,2641319375,2557172956,0.7480974045483784,12523,2.3877074058904877,2.387707404055883,2.3761933209680657
45,66,1,1,1237606800,3505100007,2267493208,0.9215489166709183,14528,2.173451512709085,2.1734515121225413,3.0919504407938634
46,66,0,1,1237606800,3494893242,2257286443,0.9280576421165136,65241,0.006508724912338639,0.0065087254455954745,0.05316273437117947
47,66,0,1,1237606800,3460931992,2223325193,0.9499281675019589,64550,0.021870524918084635,0.021870525385445174,0.15388653855451798
48,66,0,1,1237606800,3459473206,2221866407,0.9508750708496017,65493,0.0009469031891450585,0.0009469033476399121,0.009885919803383795
49,66,0,3,1360709516,3607121687,2246412172,0.9350244881127665,16565,1.9841494170316232,1.9841494172631664,2.60824669866769
50,66,0,3,1360709516,3604448039,2243738524,0.9367425859797223,65458,0.0017180974165047324,0.0017180978669568208,0.016430341512018234
51,66,0,4,573935384,4098059241,3524123858,0.28538251625533917,51467,0.3486399298288111,0.3486399302756177,1.1543938831431124
52,66,0,4,573935384,2333900131,1759964748,1.2871006139664622,32729,1.0017180974165047,1.00171809771112,2.3238337551165817
53,71,5,1,148257888,3549273747,3401015860,0.3366814122143822,31661,1.0495807973109847,1.049580798247922,2.5906587714551543
54,71,0,1,148257888,3537078331,3388820444,0.3418639480862993,65301,0.005182535508946643,0.005182535871917123,0.03989168619359406
55,75,4,0,1305442440,3851608191,2546165752,0.754320806191302,6155,3.4124568586281803,3.4124568581050023,2.384594634909474
56,75,0,0,1305442440,3464725888,2159283449,0.9920945077365388,55578,0.23777370102537557,0.23777370154523633,1.04550579240504
57,75,0,1,463401232,2872233215,2408831984,0.8343133768887228,36555,0.8422188686681408,0.8422188691521854,2.2854950826962916
58,77,2,0,926802464,3390327165,2463524702,0.8019232082486702,33512,0.9676098311334766,0.9676098313599478,2.2300066422325058
59,77,0,3,1287050464,3547586983,2260536520,0.9259819207712248,7517,3.124058711502446,3.1240587125225523,3.2183725323204624
60,88,11,0,481831680,2503952127,2022120448,1.086778211801068,229,8.160796211903056,8.160796291029841,2.0529490530503463
61,88,0,0,481831680,2312403608,1830571929,1.2303526831755356,59328,0.14357447137446924,0.14357447137446924,0.7656026020776246
62,89,1,0,963663360,3273218555,2309555196,0.8950321204832434,41342,0.6646794368084417,0.6646794373077075,1.4000795650070992
63,90,1,0,1927326720,3339434211,1412107492,1.6047972328488527,20035,1.7097651106818397,1.7097651123656097,3.0806958417371972
64,90,0,0,1927326720,3332215949,1404889230,1.6121907619231273,65201,0.00739352893932981,0.007393529074274732,0.05409999495518773
65,93,3,1,1735434496,3324852623,1589418128,1.4341484418187314,4634,3.8219576711351784,3.821957679895604,2.9891717701552643
66,93,0,1,1735434496,3324319065,1588884570,1.4346328270777846,65514,0.000484384451701118,0.0004843852590517427,0.0055806573939322975
67,98,5,0,1916795744,4010352879,2093557136,1.0366908543033126,5397,3.6020580280273617,3.6020580272255285,1.9846932425847397
68,98,0,0,1916795744,3965885234,2049089491,1.0676641526833421,64144,0.03097329784922937,0.030973298380029476,0.1620883607060559
69,100,2,1,556064456,2279981055,1723916600,1.316957164902746,6892,3.249293013775052,3.2492930122194044,1.1160478651351646
70,102,2,1,76774176,3902029787,3825255612,0.16709099092910407,36355,0.8501338249676487,0.8501338260263572,1.76182150339929
71,102,0,1,76774176,2954354461,2877580286,0.5777909651459971,49300,0.4106999738473638,0.41069997421689414,1.6090093193726769
72,105,3,0,307096704,4173318311,3866221608,0.15172281224119644,22013,1.5739318468618424,1.5739318470952002,3.0482035770192795
73,107,2,0,959418184,3668416235,2708998052,0.664887789893875,11480,2.51316497843695,2.5131649776526768,2.387084452902031
74,107,0,0,959418184,2570779298,1611361115,1.4143672997419436,38982,0.7494795094324288,0.7494795098480693,2.3145126777539304
75,113,6,1,823313792,3444922751,2621608960,0.7121946372432397,833,6.2978273146344526,6.297827337501297,2.6911420127900967
76,115,2,0,708916658,2454549161,1745632504,1.298897275741055,21819,1.586702638317028,1.586702638497816,1.171549019602642
77,116,1,0,1417833316,3975178539,2557345224,0.7480002183890377,48005,0.4491029417099089,0.4491029426479808,1.5735900300128058
78,116,0,1,688182984,3868241143,3180058160,0.43359399485118644,40747,0.6855937756944797,0.6855937764621511,2.2816947386716735
79,121,5,0,1431628608,3634222607,2202594000,0.9634435557261547,2837,4.529849564725641,4.529849560874968,1.7861943899954629
80,122,1,2,1880580496,4292356391,2411775896,0.8325512888380366,8970,2.8691077301933765,2.869107733111879,1.7776809500832689
81,122,0,2,1880580496,3662658250,1782077755,1.2690868606097752,48425,0.43653557162202156,0.4365355717717384,1.4656654105795877
82,127,5,0,893369344,2231450431,1338081088,1.6824815997572813,6151,3.4133947393963897,3.4133947391475075,1.0139194665420224
83,128,1,0,1786738688,3960344589,2173605902,0.9825567579808094,53229,0.3000751574859039,0.30007515822352965,1.0560438587095637
84,128,0,1,1425993728,4213513283,2787519556,0.623665219637207,42023,0.6411084615183846,0.6411084616563971,2.083523626996197
85,131,3,0,497548704,3833078543,3335529840,0.36473119814930755,19605,1.7410659785960483,1.7410659785120992,2.7678131445874414
86,131,0,0,497548704,2751891708,2254343005,0.9299401034565697,44293,0.5652089050393097,0.5652089053072625,1.4579557759151385
87,131,0,0,497548704,2455582646,1958033943,1.1332413713819776,56922,0.2033012674513882,0.203301267925407,0.6769305483349013
88,131,0,0,497548704,2325556954,1828008251,1.2323745637742576,61184,0.09913319201925144,0.09913319239227968,0.49630014103022135
89,133,2,0,810450808,3556479803,2746028996,0.6453002866741926,24612,1.4129257227989918,1.4129257228999366,1.9154723905220299
90,133,0,0,810450808,3489438079,2678987272,0.6809594191321047,63936,0.03565913220758168,0.03565913245791044,0.2181679904267054
91,133,0,0,810450808,2351187337,1540736530,1.4790269677173065,37691,0.7980675480298076,0.7980675485852041,1.783067318765579
92,134,1,0,1620901616,3846430833,2225529218,0.9484987045868465,47332,0.46947173642370876,0.4694717368695375,0.8602542912216491
93,134,0,0,1620901616,3842050137,2221148522,0.951341280914157,65407,0.002842576090103573,0.0028425763273131613,0.0240269739198147
94,134,0,0,1620901616,3610194713,1989293098,1.1103912907175975,58695,0.15905000949068726,0.1590500098034383,0.6662779893421378
95,134,0,1,1094319584,3505475403,2411155820,0.8329222584589147,39717,0.7225309665817014,0.7225309677413171,2.0258351705813147
96,134,0,2,41155520,3280704655,3239549136,0.4068541059034132,44026,0.5739318468618424,0.5739318474445005,1.2459555580214943
97,137,3,0,82311040,4078657923,3996346884,0.10396533112504258,40423,0.6971112248953493,0.6971112252216273,1.5403060747486137
98,137,0,0,82311040,3567711412,3485400373,0.30132275592734814,57157,0.1973574247779269,0.19735742480230667,0.7986812624924489
99,137,0,0,82311040,3566700935,3484389896,0.30174107846239906,65517,0.000418322449221962,0.0004183225350496627,0.004934802732935719
100,138,1,0,164622080,2535683049,2371060970,0.8571143849290728,22298,1.5553733057973116,1.5553733064666768,2.2664144116130873
101,139,1,0,329244160,3929974627,3600730468,0.2543575351090226,49762,0.39724315001223615,0.39724315017994705,1.279179029723744
102,139,0,0,329244160,3809375210,3480131051,0.3035055114719398,63341,0.04914797626644155,0.04914797636291901,0.2222711069605313
103,140,1,0,658488320,3032492511,2374004192,0.8553246635308547,22353,1.5518191516964028,1.5518191520589155,2.668969565283369
104,140,0,2,874306744,3375096439,2500789696,0.7802634068854708,17259,1.924938744394605,1.9249387433546155,1.8810085819641535
105,140,0,2,874306744,2782639456,1908332713,1.1703344224957775,50010,0.39007101540506467,0.39007101561030627,1.0069716904253403
106,140,0,2,874306744,2481375871,1607069128,1.4182151582093177,55190,0.2478807349209418,0.24788073571354066,0.833644979504511
107,145,5,1,841079104,2395573215,1554494112,1.466201993860004,3962,4.047986835110514,4.047986835650685,1.9018313172443568
108,153,8,0,702809728,3748039423,3045229696,0.49609609397997545,1003,6.029894109387819,6.029894100119972,3.270920665828332
109,153,0,1,1626255408,3774588381,2148332974,0.9994295294552415,23117,1.5033334356720078,1.503333435475267,2.164759888560299
110,153,0,3,62570688,4047030771,3984460084,0.10826290157420715,30387,1.108833370689515,1.1088333721189638,2.2602695880445935
111,158,5,2,1068064464,2960099343,1892034880,1.1827084607512397,1945,5.0744455601264455,5.074445559177032,2.8190136793995966
112,158,0,2,1068064464,2256331425,1188266962,1.8537881503750668,41159,0.6710796895443889,0.6710796896238281,1.7911261555849147
113,166,8,1,705370752,2956579711,2251208960,0.9319471702682698,970,6.07815906292551,6.078159019893201,2.089707704837887
