position,stable_bits,released_bits,pending_underflow,low,high_inclusive,residual_width,residual_information_bits,selected_frequency,selected_information_bits,effective_interval_information_bits,table_entropy_bits
1,1,1,0,0,3749576703,3749576704,0.19591940947441344,28607,1.1959194094744132,1.1959194094744132,3.0730381108176084
2,4,3,0,1481102544,3977463791,2496361248,0.7828204245591515,5454,3.5869010150847367,3.5869010150847367,3.828482113560396
3,7,3,1,1933012736,4007625455,2074612720,1.0498051006783164,3404,4.266984678314038,4.266984676119167,2.771776558831566
4,7,0,1,1933012736,3231291801,1298279066,1.7260466210273542,41012,0.6762415202936912,0.6762415203490358,1.6129425908174269
5,7,0,3,1289600000,3954146619,2664546620,0.6887570707110946,33626,0.9627104479905498,0.9627104496837431,2.269058107232357
6,12,5,0,1559123496,3417508151,1858384656,1.2085979985086297,11427,2.5198409267155037,2.5198409277975333,2.3989445215457876
7,12,0,0,1559123496,3416912660,1857789165,1.20906036219845,65515,0.0004623634480924974,0.00046236368982123483,0.005406062947109679
8,15,3,0,1836010880,3473595791,1637584912,1.3910774308474565,7221,3.182017072804347,3.182017068649006,2.3435894427494603
9,15,0,2,901592576,2929283315,2027690740,1.0828095143287975,20287,1.6917320823703244,1.691732083481343,2.9779300953216445
10,18,3,0,1803185152,3460399069,1657213918,1.3738873041555095,26781,1.2910777886865532,1.2910777898267118,2.5636228002767694
11,20,2,1,102339888,3539966367,3437626480,0.3212343506819799,16993,1.9473470473249441,1.9473470465264704,2.342924255588221
12,24,4,0,1175728976,4157215327,2981486352,0.5266154132922338,7105,3.205381065869857,3.2053810626102526,3.2468246115403407
13,24,0,1,203974304,3719831667,3515857364,0.2887706035255917,38641,0.7621551899318129,0.7621551902333562,1.8217819420072696
14,24,0,1,203974304,3717739405,3513765102,0.28962939675819044,65497,0.0008587929491977406,0.0008587932326018315,0.009276498401944066
15,24,0,1,203974304,3716774320,3512800017,0.29002569945480516,65518,0.0003963024539395264,0.00039630269661255937,0.004699172121844633
16,26,2,2,1758609568,4245699423,2487089856,0.7881885144284482,5800,3.4981628150977033,3.4981628149736443,1.374690352216224
17,34,8,0,498316672,2742526655,2244209984,0.9364394751016611,924,6.148250958583943,6.148250960673212,2.8651214906979408
18,35,1,0,996633344,3946953095,2950319752,0.5417758255643434,43078,0.6053363496088511,0.6053363504626843,1.695916006543401
19,35,0,0,996633344,3030695497,2034062154,1.0782833823062496,45183,0.5365075564164479,0.5365075567419042,1.8440344519412155
20,35,0,3,2058702504,4250185967,2191483464,0.9707393530718669,8826,2.892455968024014,2.8924559707656163,2.2997878888752967
21,39,4,1,1149507528,3508589183,2359081656,0.8644217898918853,17637,1.8936824367205847,1.8936824368200214,2.2356355293534493
22,39,0,1,1149507528,3408158308,2258650781,0.9271859188710643,62746,0.06276412894252935,0.06276412897917595,0.3824608185891717
23,39,0,2,151531408,2385161123,2233629716,0.9432571057465076,32405,1.016071186394157,1.0160711868754457,1.6108856810914711
24,42,3,0,303062816,3777363137,3474300322,0.30592467857071526,50969,0.36266757227285773,0.36266757282420653,1.3153676356693633
25,43,1,0,606125632,3148976723,2542851092,0.7562001649621877,23983,1.4502754857011533,1.4502754863914722,2.706315995627598
26,43,0,1,1249021450,3387490307,2138468858,1.0060689482622465,27557,1.2498687832321191,1.2498687833000606,1.6114168593193732
27,49,6,0,2049634048,3568907583,1519273536,1.499265504282178,1455,5.4931965622043535,5.493196556019929,2.820780141098822
28,49,0,3,1364686848,3830909927,2466223080,0.8003438426827323,13298,2.3010783376601873,2.3010783384005546,3.55127184922403
29,54,5,0,782797936,2971902079,2189104144,0.9723065553786867,14543,2.171962714419807,2.1719627126959558,2.704450703191408
30,54,0,0,782797936,2909972771,2127174836,1.013708530362507,63682,0.04140197450661518,0.041401974983820665,0.268801797276098
31,54,0,0,782797936,2849925263,2067127328,1.0550198894146057,63686,0.041311358650741606,0.04131135905209819,0.21914568579811117
32,55,1,0,1565595872,3581057631,2015461760,1.0915367352790888,31949,1.0365168447593058,1.0365168458644831,1.3764077688773233
33,55,0,0,1565595872,3517582394,1951986523,1.1377040538036098,63472,0.0461673178547194,0.046167318524520405,0.21483385425106552
34,55,0,1,983708096,2238071503,1254363408,1.775691766801085,21057,1.6379877108400127,1.6379877129974751,2.942469425416056
35,61,6,0,753771616,2891334271,2137562656,1.0066804372780496,3490,4.230988678902985,4.2309886704769655,2.8039095963099654
36,61,0,0,753771616,2749060584,1995288969,1.1060494452035456,61174,0.09936900742063118,0.09936900792549573,0.5127538433154321
37,61,0,0,753771616,2748329887,1994558272,1.106577872928419,65512,0.0005284274673163702,0.0005284277248739229,0.00604635333652084
38,61,0,0,753771616,2723525733,1969754118,1.124631594952163,64721,0.018053721522348933,0.018053722023744608,0.1208267746910089
39,61,0,0,753771616,2722593995,1968822380,1.1253141836071094,65505,0.0006825886112264284,0.000682588654944889,0.007615073891052001
40,61,0,0,753771616,2720761442,1966989827,1.1266576497977034,65475,0.00134346587467908,0.0013434661905958529,0.01379570193163791
41,61,0,0,753771616,2720101136,1966329521,1.1271420346728362,65514,0.000484384451701118,0.0004843848751321866,0.0056416925501822975
42,61,0,0,753771616,2719351040,1965579425,1.1276924847505896,65511,0.0005504494793435254,0.0005504500777514753,0.006295024426833294
43,61,0,0,753771616,2718691208,1964919593,1.1281768692314387,65514,0.000484384451701118,0.0004843844808523146,0.005630173881020868
44,61,0,0,753771616,2717701792,1963930177,1.128903507138368,65503,0.0007266376781842033,0.0007266379069271332,0.007952737058678178
45,61,0,0,753771616,2715604088,1961832473,1.130445295430679,65466,0.0015417881020707706,0.001541788292312122,0.015617429988825876
46,61,0,0,753771616,2705905087,1952133472,1.1375954492556275,65212,0.007150153731529768,0.007150153824946555,0.05402565853740089
47,61,0,0,753771616,2705219981,1951448366,1.1381018554640008,65513,0.0005064057914389884,0.000506406208375127,0.005835285569952072
48,61,0,0,753771616,2704177795,1950406180,1.1388725436544043,65501,0.0007706880901105886,0.0007706881904048127,0.008471628236010581
49,61,0,0,753771616,2703284969,1949513354,1.1395331089065088,65506,0.0006605645820851047,0.0006605652521033633,0.007379447312311762
50,61,0,0,753771616,2702571035,1948799420,1.1400615370304443,65512,0.0005284274673163702,0.0005284281239344369,0.00603483466735941
51,61,0,0,753771616,2701887099,1948115484,1.1405679433081914,65513,0.0005064057914389884,0.0005064062777474104,0.005865803148077072
52,61,0,0,753771616,2701173677,1947402062,1.1410963713698372,65512,0.0005284274673163702,0.0005284280616448629,0.006070914500986733
53,61,0,0,753771616,2700549662,1946778047,1.1415587348601974,65515,0.0004623634480924974,0.0004623634903609991,0.00532199045253682
54,61,0,0,753771616,2700074374,1946302759,1.141910998621558,65520,0.0003522634716290214,0.0003522637613604685,0.004227909891679893
55,61,0,0,753771616,2699153729,1945382114,1.1425935872915254,65505,0.0006825886112264284,0.0006825886699674161,0.007592036552729142
56,61,0,0,753771616,2698560045,1944788430,1.1430339304382429,65516,0.0004403427806028656,0.00044034314671648385,0.005139915429900777
57,61,0,0,753771616,2698025892,1944254277,1.1434302335632403,65518,0.0003963024539395264,0.0003963031250003133,0.004687653452683203
58,61,0,0,753771616,2696957881,1943186266,1.144222947532775,65500,0.0007927138004626774,0.0007927139695322939,0.008558703673120904
59,61,0,0,753771616,2696275915,1942504300,1.144729353773645,65513,0.0005064057914389884,0.0005064062408703972,0.005810724405486178
60,61,0,0,753771616,2695801670,1942030055,1.1450816178292769,65520,0.0003522634716290214,0.0003522640556313182,0.004227909891679893
61,61,0,0,753771616,2683681761,1929910146,1.154113466881988,65127,0.009031848325780604,0.009031849052713984,0.06216951790580118
62,61,0,0,753771616,2315433372,1561661757,1.4595651344936904,53031,0.30545166696645276,0.30545166761170056,1.2399964807355472
63,61,0,0,753771616,2313836824,1560065209,1.461040812609074,65469,0.0014756776637093812,0.001475678115382256,0.015171500582665164
64,61,0,0,753771616,2313241706,1559470091,1.461591262413414,65511,0.0005504494793435254,0.0005504498043405983,0.006233989270583294
65,61,0,0,753771616,2312741997,1558970382,1.4620536266679807,65515,0.0004623634480924974,0.0004623642545689613,0.00539454427794825
66,61,0,0,753771616,2312266236,1558494621,1.4624939703703284,65516,0.0004403427806028656,0.0004403437023456288,0.005115354265434883
67,61,0,0,753771616,2311647936,1557876321,1.4630664428853706,65510,0.0005724718275307164,0.0005724725150425686,0.0065001351076844835
68,61,0,0,753771616,2311196281,1557424666,1.4634847655039387,65517,0.000418322449221962,0.0004183226185702276,0.00492328406377429
69,61,0,0,753771616,2310768521,1556996906,1.4638810684579902,65518,0.0003963024539395264,0.00039630295405055645,0.004687653452683203
70,61,0,0,753771616,2310293363,1556521748,1.4643214114729126,65516,0.0004403427806028656,0.00044034301492301546,0.005115354265434883
71,61,0,0,753771616,2309557093,1555785478,1.4650040003180607,65505,0.0006825886112264284,0.0006825888451479715,0.007243545028356738
72,61,0,0,753771616,2308678735,1554907120,1.465818740267114,65499,0.0008147398470877202,0.0008147399490509281,0.008825239971690485
73,61,0,0,753771616,2308299119,1554527504,1.4661710037423674,65520,0.0003522634716290214,0.0003522634752542632,0.004227909891679893
74,61,0,0,753771616,2307872155,1554100540,1.4665673064460627,65518,0.0003963024539395264,0.00039630270369615973,0.004699172121844633
75,61,0,0,753771616,2307184457,1553412842,1.4672058481921262,65507,0.0006385408891551363,0.0006385417460613749,0.006985094455274586
76,61,0,0,753771616,2303700086,1549928471,1.4704455091689042,65389,0.003239660265459703,0.003239660976779009,0.027725124741684853
77,61,0,0,753771616,2303250735,1549479120,1.4708638319901688,65517,0.000418322449221962,0.00041832282126622093,0.004904285154810719
78,61,0,0,753771616,2302044933,1548273318,1.471986971871985,65485,0.001123139814249491,0.0011231398818147642,0.011898806835544945
79,61,0,1,1035481446,2242849245,1207367800,1.830781915317612,25553,1.3587949425538952,1.3587949434456283,1.2823551789529433
80,68,7,0,1493234112,3240615999,1747381888,1.2974522042073104,1482,5.466670267694166,5.466670288889697,3.6253154979094107
81,71,3,1,1406666176,4223124959,2816458784,0.608764786651399,6602,3.311312576777464,3.3113125824440885,3.432928332015596
82,71,0,1,1406666176,4154965418,2748299243,0.6441080483759265,63950,0.03534326134363831,0.03534326172452813,0.23003696080657016
83,71,0,2,665848704,3197004795,2531156092,0.7628506673243116,30179,1.1187426183945337,1.118742618948384,1.5989631221014728
84,71,0,6,748373520,3728785087,2980411568,0.527135578375379,4823,3.7642849052381044,3.764284911051067,3.5669636363104824
85,80,9,0,470891920,2991071479,2520179560,0.7691206182041022,6927,3.2419850415047287,3.2419850398287258,3.496722570841417
86,81,1,0,941783840,2765007003,1823223164,1.2361559867807586,23706,1.4670353683011732,1.467035368576656,1.942279511971146
87,81,0,0,941783840,2641346313,1699562474,1.337483751316615,61091,0.10132776433042692,0.1013277645358554,0.47891035548554023
88,85,4,0,1065808448,4085270383,3019461936,0.5083556598490837,7277,3.1708719046314573,3.1708719085324693,3.5174521474254323
89,85,0,0,1065808448,4083888183,3018079736,0.509016224439339,65506,0.0006605645820851047,0.0006605645902543785,0.007356409973988903
90,88,3,0,426577848,2167721015,1741143168,1.3026123104735845,4726,3.7935960860261533,3.793596086034245,3.951970820107314
91,89,1,0,853155696,2783195467,1930039772,1.1540165688437192,36323,0.8514042574036472,0.8514042583701348,1.377531171856636
92,91,2,3,294928000,3169254815,2874326816,0.5794230379357757,3050,4.425406472662389,4.425406469092059,3.905150991254959
93,91,0,3,294928000,3168202205,2873274206,0.5799514654442817,65512,0.0005284274673163702,0.0005284275085049346,0.006112950748273164
94,96,5,2,152312480,3281627967,3129315488,0.45680003200865826,4461,3.8768485672264252,3.876848566564376,3.949912343164814
95,96,0,2,152312480,2853696365,2701383886,0.668948474299043,56574,0.21214844175893657,0.21214844229038674,1.0198082571538682
96,100,4,1,1382954960,3319298487,1936343528,1.1493122212026279,5872,3.480363747156787,3.4803637469035826,3.947248282204851
97,100,0,2,618426272,3421361529,2802935258,0.6157087245263284,47433,0.4663965028606386,0.4663965033237004,1.4668697784067244
98,100,0,2,618426272,2194649659,1576223388,1.4461751328429742,36854,0.8304664077249841,0.8304664083166464,2.160363929622745
99,103,3,1,326221440,3908127515,3581906076,0.26191963824474485,37232,0.8157445045946514,0.8157445054017706,2.207548702262529
100,105,2,0,1182248850,3347264465,2165015616,0.9882697150365622,19806,1.7263500760563077,1.726350076791817,1.0818850242249771
101,105,0,1,217014052,3809494339,3592480288,0.2576669054014573,54373,0.2693971902229299,0.26939719036489723,0.8631967301511114
102,105,0,1,217014052,3310222023,3093207972,0.4735433096488926,56428,0.2158764039750591,0.2158764042474337,0.8633935342334362
103,105,0,1,217014052,2615175322,2398161271,0.840718465973584,50810,0.36717515631492487,0.3671751563246918,1.2475544681269801
104,109,4,1,1768201152,3829706479,2061505328,1.0589489561099796,3521,4.218230488136869,4.2182304901363965,1.3490407663136064
105,112,3,0,1926051980,3996239183,2070187204,1.05288591158833,16453,1.9939369549999169,1.993936955478349,2.563690266617448
106,113,1,1,268045848,2772638787,2504592940,0.7780709981474985,19822,1.7251850855491642,1.7251850865591676,2.3637650897929245
107,118,5,0,2088206928,4068767599,1980560672,1.1167382489354054,3239,4.338667247204813,4.338667250787909,1.5031909444587779
108,118,0,0,2088206928,3341953570,1253746643,1.776401308094517,41486,0.6596630584050835,0.6596630591591113,2.0003808046376723
109,118,0,2,1910376768,3935012303,2024635536,1.0849849208457734,26458,1.308583610199589,1.3085836127512551,1.6824114931566871
110,118,0,2,1910376768,3270338939,1359962172,1.659080623234452,44021,0.5740957019667795,0.5740957023886788,1.742470928940343
111,123,5,0,861583856,3487213943,2625630088,0.709983469615107,15816,2.050902844270792,2.0509028463806565,3.241770285484794
112,125,2,0,624806288,3888734999,3263928712,0.3960375984982072,20367,1.6860541292907951,1.6860541288831,1.7644675519459965
113,125,0,0,624806288,2958104934,2333298647,0.8802761713228797,46850,0.4842385725660885,0.4842385728246724,1.121457367907456
114,127,2,0,1015141956,2885312719,1870170764,1.199477138399157,13132,2.319200965427019,2.3192009670762777,1.0523354465574282
115,127,0,0,1015141956,2863282509,1848140554,1.2165726658572567,64764,0.01709552730620542,0.017095527458098447,0.09557294851335855
116,127,0,0,1015141956,2862662100,1847520145,1.217057050690677,65514,0.000484384451701118,0.0004843848334199821,0.005524940162877561
117,127,0,0,1015141956,2345866151,1330724196,1.6904355546996293,47204,0.4733785037521462,0.47337850400895526,0.8724634762755051
