position,stable_bits,released_bits,pending_underflow,low,high_inclusive,residual_width,residual_information_bits,selected_frequency,selected_information_bits,effective_interval_information_bits,table_entropy_bits
1,0,0,0,0,2219048959,2219048960,0.9527056472169946,33860,0.9527056472169959,0.9527056472169959,2.689557374772614
2,3,3,0,0,3697511999,3697512000,0.21609231652242045,13650,2.2633866693054228,2.2633866693054228,3.527483737578818
3,5,2,0,900145388,2177935483,1277790096,1.748996283384077,5662,3.5329039660942527,3.5329039668616575,3.682259825437512
4,7,2,0,996440016,2163250171,1166810156,1.8800772972883664,14961,2.1310810116137295,2.1310810139042897,2.863365979675157
5,12,5,1,1065957568,2540422719,1474465152,1.5424554203457888,1294,5.662378098007492,5.6623781230574215,3.558692906226154
6,14,2,0,2131915136,4147200497,2015285362,1.0916630089014632,44787,0.5492075881054568,0.5492075885556758,1.7661556048007139
7,19,5,1,888765504,3878236607,2989471104,0.5227568800285987,1519,5.431093845497917,5.431093871127136,2.9753703905151676
8,21,2,2,667673088,4141765479,3474092392,0.3060110235982023,9520,2.783254141804694,2.7832541435696023,3.7763501478650774
9,21,0,2,667673088,2297903240,1630230153,1.3975714900529752,30753,1.0915604661284195,1.0915604664547718,2.8598356869489523
10,24,3,1,523208704,3619193271,3095984568,0.4722488656571784,31115,1.0746773742252635,1.0746773756042032,2.1538410752925383
11,24,0,2,1161020628,3344404031,2183383404,0.9760816549515852,23109,1.503832789301668,1.5038327892944086,2.070075730967753
12,27,3,0,536552284,2188482257,1651929974,1.378494614404186,24792,1.4024129604137843,1.4024129594525996,1.3637604417239457
13,28,1,2,508340472,2440162879,1931822408,1.1526846723752762,9580,2.7741900593764575,2.7741900579710927,3.591360735359643
14,31,3,0,1016680944,2480581157,1463900214,1.5528299296006267,24831,1.4001452572044146,1.4001452572253472,2.9645940521600775
15,32,1,0,2033361888,3229482013,1196120126,1.8442848597538948,26774,1.2914549286489743,1.2914549301532698,2.6255002200218263
16,34,2,1,109435816,3161498679,3052062864,0.4928624680329641,20903,1.648577607592992,1.648577608279069,2.720082221764476
17,36,2,0,218871632,3378326721,3159455090,0.4429713872136958,33921,0.950108918893331,0.9501089191807301,2.151376878133605
18,36,0,0,218871632,2297663493,2078791862,1.0469018297090358,43120,0.6039304423601322,0.6039304424953416,1.8948335381322619
19,37,1,0,437743264,3285487643,2847744380,0.5928274934795112,44889,0.5459256630055213,0.5459256637704759,1.959432844165402
20,37,0,0,437743264,3278882767,2841139504,0.5961774743638699,65384,0.003349980824106516,0.0033499808843566324,0.031640080732014304
21,41,4,0,735855088,2582318319,1846463232,1.2178826110842884,2662,4.621705144088108,4.621705136720421,3.1518066911479474
22,42,1,1,795936704,3695911791,2899975088,0.5666066390746423,25732,1.3487240266533613,1.3487240279903532,2.73655549621685
23,42,0,2,2111432278,3847187019,1735754742,1.3070840331950606,19613,1.7404773937377078,1.7404773941204164,2.3517413483426033
24,42,0,2,2111432278,3516541843,1405109566,1.611964514384777,53052,0.30488048032477755,0.3048804811897185,0.8332722414324479
25,50,8,0,591338240,4279750847,3688412608,0.21964709268165805,2688,4.607682577221239,4.607682578296882,3.021554410674014
26,50,0,0,591338240,2669897419,2078559180,1.047063321565009,36932,0.8274162286908512,0.8274162288833512,1.7494055746904245
27,52,2,0,190810352,2210757815,2019947464,1.0883293750229548,15922,2.041266052857063,2.041266053457946,2.638255595901942
28,55,3,1,1391276384,3330347039,1939070656,1.1472817725826339,3932,4.058952393659419,4.058952397559678,3.4734941274845212
29,58,3,0,1642598276,3359759907,1717161632,1.3226213031152056,14509,2.175339532111158,2.1753395305325713,1.8773442223526153
30,62,4,0,702550720,3820356143,3117805424,0.4621162508803778,7437,3.1394949431921217,3.139494947765173,3.8062185412654457
31,62,0,0,702550720,3283103691,2580552972,0.7349669003337169,54243,0.27285064910323953,0.2728506494533371,1.1739053738431924
32,63,1,0,1405101440,3549052063,2143950624,1.0023754656521078,27224,1.2674085640349915,1.2674085653183915,2.2129667768912338
33,66,3,3,2054230976,3469573439,1415342464,1.6014959683377903,676,6.599120563717816,6.599120502685684,3.0503814218052305
34,66,0,4,1960978304,3695602123,1734623820,1.3080243200194737,40160,0.7065283511618656,0.7065283516816812,1.9775671065819098
35,66,0,4,1960978304,3686920534,1725942231,1.3152629691240953,65208,0.007238649056868908,0.007238649104622251,0.0499000961363583
36,66,0,6,1401462272,3674240811,2272778540,0.9181900315057057,21575,1.6029270610463202,1.602927062381611,2.880946110510631
37,66,0,6,1401462272,3665120010,2263657739,0.9239913042638648,65273,0.005801272191043642,0.005801272758159205,0.051695614275019515
38,66,0,7,655440896,2985002243,2329561348,0.8825888223113196,33722,0.9585975176072083,0.9585975180474534,1.8954374603555553
39,75,9,0,831529728,3035115039,2203585312,0.9627943942512225,15498,2.080205571160844,2.0802055719399024,3.157908445095432
40,78,3,1,1719932624,3276860319,1556927696,1.46394519905623,2894,4.501150793468275,4.5011508048050075,3.541048044811801
41,78,0,2,1292381600,3980039437,2687657838,0.6762976637159888,56566,0.21235246439189304,0.21235246465976146,0.6928512037757211
42,78,0,2,1292381600,3914504811,2622123212,0.7119116674849799,63938,0.035614003564041735,0.03561400376899026,0.21048518125006682
43,78,0,3,437279552,3981322975,3544043424,0.27725086514404396,44289,0.5653391974275482,0.5653391976590629,1.6057991236411915
44,78,0,3,437279552,2593199643,2155920092,0.9943434396356352,39867,0.7170925741311894,0.7170925744915916,1.9494619239834934
45,82,4,0,874559104,3945797807,3071238704,0.4838264996414061,46680,0.4894830594052895,0.48948306000577235,1.6229782054992226
46,85,3,0,1382079872,3760490319,2378410448,0.8526494400989186,6344,3.3688229442960216,3.3688229404575107,2.9372532070560204
47,86,1,1,2002054748,3433978619,1431923872,1.5846923520201983,9864,2.732042915597161,2.7320429119212792,1.7933326122507915
48,94,8,0,1287593472,3656420607,2368827136,0.8584742235583818,847,6.273781840667802,6.273781871538186,3.0960302275252816
49,94,0,1,427703296,3329024957,2901321662,0.5659368937571401,40134,0.7074626693518705,0.7074626701987571,1.6646151013423045
50,94,0,1,427703296,3320303637,2892600342,0.5702801398720148,65339,0.0043432456574473925,0.00434324611487679,0.03405824767489333
51,94,0,1,427703296,3319420885,2891717590,0.5707204828675394,65516,0.0004403427806028656,0.0004403429955246727,0.005170433008025777
52,94,0,1,427703296,3273840680,2846137385,0.5936418425912358,64503,0.022921359380199218,0.02292135972369351,0.15674924694544629
53,101,7,0,1057666176,2241703743,1184037568,1.858932289449367,426,7.265290379774162,7.265290446858132,3.063425295391571
54,101,0,0,1057666176,2151242376,1093576201,1.9735933943295514,60529,0.11466110397964466,0.11466110488018405,0.5570568200137606
55,105,4,0,29393664,2301447743,2272054080,0.9186499713739309,8510,2.945056583426675,2.9450565770443813,2.620542100006713
56,105,0,0,29393664,2283974670,2254581007,0.9297877991353936,65032,0.0111378272165518,0.011137827761462372,0.08097029242845567
57,106,1,0,58787328,3517444493,3458657166,0.31243513011276036,50268,0.3826473304123205,0.3826473309773649,1.251434116352943
58,107,1,0,717164552,2240354295,1523189744,1.4955514762324995,14431,2.183116345219238,2.1831163461197396,1.2520745343735598
59,111,4,0,1537672448,4108055135,2570382688,0.7406639768754104,6912,3.2451124978365313,3.245112500642913,1.9912481176469126
60,111,0,0,1537672448,3360190494,1822518047,1.2367140454870444,46468,0.4960500683967273,0.4960500686116327,1.9307010616410292
61,113,2,0,1855722496,3949660463,2093937968,1.036428442323988,18824,1.7997143947757024,1.799714396836943,2.633231183927185
62,113,0,0,1855722496,3939627862,2083905367,1.0433573816697184,65222,0.006928939164205971,0.006928939345732791,0.057143097769917967
63,113,0,1,1563961344,3266037857,1702076514,1.335351253591977,26764,1.2919938711039285,1.291993871922256,2.340243305979403
64,113,0,2,980439040,2755755539,1775316500,1.2745708975789647,34178,0.9392196434043909,0.9392196439869888,1.9438638663846621
65,119,6,0,668960784,2192022831,1523062048,1.4956724290615,3514,4.221101523991624,4.221101531482537,3.0145979513818686
66,120,1,1,528359488,3743485463,3215125976,0.41777187925683634,34586,0.922099450158525,0.9220994501953342,2.1057255522362937
67,120,0,1,528359488,2870383702,2342024215,0.8748911535734969,47739,0.4571192741848414,0.4571192743166594,0.9811760932900883
68,122,2,0,1056718976,3586002205,2529283230,0.7639185464830582,35388,0.889027392217107,0.8890273929095627,2.2192220125757256
69,122,0,0,1056718976,2397120217,1340401242,1.679982217573869,34731,0.9160636700164333,0.9160636710908112,1.1543614115500136
70,124,2,1,1872199184,3564226679,1692027496,1.3438941330992975,10341,2.6639119159115743,2.663911915525429,2.7385976718127165
71,124,0,1,1872199184,3347637038,1475437855,1.5415039898466212,57147,0.19760985602172756,0.19760985674732517,0.8970563829283025
72,124,0,3,1046345792,3983713463,2937367672,0.5481232860806173,32618,1.0066192957441018,1.006619296233995,1.707069104020858
73,128,4,0,702821074,2446345281,1743524208,1.30064075062921,19450,1.7525174652390834,1.7525174645485913,1.9611456330388375
74,130,2,2,268475536,4234822847,3966347312,0.11483613376175583,9318,2.8141953848915424,2.814195383132548,3.1016768372356323
75,130,0,2,268475536,2505598063,2237122528,0.9410028705299887,36964,0.8261667363179429,0.8261667367682315,1.973050812271718
76,130,0,2,268475536,2406058126,2137582591,1.0066669827056423,62620,0.06566411197396771,0.06566411217565253,0.3883113592262597
77,130,0,2,268475536,2405307936,2136832401,1.0071733890353336,65513,0.0005064057914389884,0.0005064063296907811,0.005791725496522608
78,136,6,0,552063568,2918438511,2366374944,0.8599684641395413,4536,3.852795075057771,3.8527950751042104,1.9896795031193621
79,136,0,0,552063568,2435566011,1883502444,1.189229240711235,52163,0.32926077617562066,0.32926077657169295,1.2064668877519238
80,137,1,0,1104127136,3855346647,2751219512,0.642575893222709,47864,0.4533466523450444,0.4533466525114748,1.2773644004956888
81,137,0,1,60770624,2768498565,2707727942,0.665564354089291,32250,1.0229884599146588,1.0229884608665822,2.662933064424218
82,137,0,1,60770624,2767837498,2707066875,0.6659166178848999,65520,0.0003522634716290214,0.0003522637956065713,0.004227909891679893
83,139,2,0,121541248,2892550679,2771009432,0.6322355245208371,33542,0.9663189057863095,0.9663189066359384,1.6316968310476239
84,139,0,0,121541248,2834919974,2713378727,0.6625567163699166,64173,0.030321191629506247,0.030321191849077854,0.1700389917265787
85,140,1,0,243082496,2878789431,2635706936,0.7044571798727226,31830,1.0419004634767166,1.0419004635028088,1.5796744312460476
86,140,0,2,299027116,3749544579,3450517464,0.3158344111474456,21449,1.6113772328036406,1.6113772312747228,1.4952525602575244
87,140,0,2,299027116,2977158543,2678131428,0.6814203840553112,50866,0.3655859724276948,0.3655859729078642,0.8280750259867873
88,143,3,0,598054232,2930794319,2332740088,0.8806215736433316,28542,1.1992011893163894,1.1992011895880204,2.5593414396414467
89,143,0,2,407942108,3084812615,2676870508,0.6820997948515419,18801,1.8014782214905793,1.8014782212082103,2.2318527087270823
90,143,0,2,407942108,3067453148,2659511041,0.691486119673435,65111,0.009386324297007921,0.009386324821893109,0.06318303560365161
91,146,3,0,815884216,4021939059,3206054844,0.42184804101720275,39502,0.7303619211598886,0.7303619213437685,1.4991245809126421
92,146,0,0,815884216,4018465702,3202581487,0.42341186681444754,65465,0.0015638255880888565,0.001563825797243727,0.015027991700547175
93,149,3,0,1893447696,3735557551,1842109856,1.2212880455071264,4712,3.7978761761695394,3.7978761786926793,2.187669975251341
94,149,0,0,1893447696,3460320433,1566872738,1.4547591376851443,55744,0.2334710914011354,0.23347109217801665,0.7533609406547274
95,150,1,1,826523376,2344335703,1517812328,1.5006537282523666,15871,2.0458945880815347,2.0458945905672237,1.4116449578917711
96,152,2,1,1158609856,3743819255,2585209400,0.732366003536864,27906,1.2317122747542324,1.2317122752844958,1.9076671908333418
97,157,5,0,2080249568,3265557983,1185308416,1.8573846503155913,1878,5.125018652346226,5.125018646778727,3.0442963227440325
98,157,0,0,2080249568,3265178169,1184928602,1.85784701401575,65515,0.0004623634480924974,0.00046236370016088416,0.00532199045253682
99,157,0,0,2080249568,3222074076,1141824509,1.9113062111190118,63152,0.053459196106896624,0.05345919710325995,0.2320245556160204
100,157,0,1,2013015488,3930087543,1917072056,1.163742582153116,55016,0.2524363697448821,0.2524363710341038,0.9666192802411794
101,159,2,2,1372365840,3895075407,2522709568,0.7676730233002296,10780,2.603930442360132,2.6039304411471145,2.014661715912097
102,159,0,2,1372365840,3506137152,2133771313,1.0092415824475012,55432,0.241568559099732,0.241568559147272,0.9941586133809536
103,164,5,0,1344952536,4150997255,2806044720,0.6141091446082712,10773,2.604867561614186,2.6048675621607713,3.3343878115738916
104,164,0,0,1344952536,3906769974,2561817439,0.7454794764363122,59832,0.13137033178734311,0.13137033182803964,0.6120935870106518
105,166,2,1,1002716440,2377128999,1374412560,1.6438320203684675,4395,3.8983525499692337,3.898352543932157,2.578109656506788
106,166,0,1,1002716440,2374486543,1371770104,1.6466084266094043,65410,0.0027764060185773093,0.0027764062409345192,0.0221728170589034
107,168,2,0,2005432880,3262791127,1257358248,1.7722513833067808,30035,1.1256429565861679,1.1256429566973785,1.9399108218656902
108,168,0,2,1579280576,3853023871,2273743296,0.9175777618332113,29628,1.1453263781360619,1.1453263785264294,2.547250381697644
109,168,0,3,1011077504,4206863673,3195786170,0.4264762652199856,46056,0.5088985030834636,0.5088985033867727,1.768428783266999
110,168,0,3,1011077504,2789543039,1778465536,1.2720141286134954,36471,0.8455378629135681,0.8455378633935111,2.2784520901106786
111,172,4,0,2022155008,3966808941,1944653934,1.1431337065470686,35830,0.8711195769019014,0.8711195779335749,1.9460369859395996
112,172,0,0,2022155008,3931438648,1909283641,1.1696157022206108,64344,0.026481995296282625,0.026481995673539746,0.1605136908556705
113,172,0,0,2022155008,3793463072,1771308065,1.2778319993125038,60800,0.10821629678168981,0.1082162970918922,0.48809010657027635
