position,stable_bits,released_bits,pending_underflow,low,high_inclusive,residual_width,residual_information_bits,selected_frequency,selected_information_bits,effective_interval_information_bits,table_entropy_bits
1,3,3,2,96468992,2925527039,2829058048,0.6023253670517335,1349,5.602325367051733,5.602325367051733,3.0730381108176084
2,6,3,0,192937984,2588502975,2395564992,0.842281191502245,27747,1.2399558244505124,1.2399558244505124,2.2597911553512198
3,10,4,0,83465216,3990879695,3907414480,0.13643284812598822,6681,3.2941516564910542,3.2941516566237428,2.3190179928342864
4,10,0,0,83465216,2859484779,2776019564,0.6296294106673344,46560,0.4931965622043538,0.4931965625413461,1.707126325674195
5,11,1,1,1274834528,3351596719,2076762192,1.0483111219663073,12257,2.418681709508838,2.4186817112989742,2.93493229535864
6,11,0,1,1274834528,3349378497,2074543970,1.0498529105305252,65466,0.0015417881020707706,0.0015417885642177182,0.014920219348572482
7,11,0,1,1274834528,3276445310,2001610783,1.1014856793456467,63232,0.05163276841532235,0.051632768815122757,0.3021229486138741
8,16,5,0,1956653680,3951423023,1994769344,1.1064252093433424,4082,4.004939532967281,4.004939529997692,2.0809997038227923
9,16,0,1,1765823712,3342439043,1576615332,1.445816436621417,25899,1.3393912261253185,1.3393912272780775,2.3942358595790987
10,16,0,1,1765823712,3227830347,1462006636,1.554697286363222,60772,0.10888084884728316,0.10888084974180351,0.6038107859919662
11,16,0,1,1765823712,3224528696,1458704985,1.557959010334283,65388,0.003261723702316598,0.0032617239710627994,0.02871758472926188
12,16,0,3,620843904,3968368847,3347524944,0.3595523402173946,37599,0.8015933286068402,0.8015933298831105,1.6884308034777553
13,20,4,0,1241687808,4261488751,3019800944,0.5081936913537035,29560,1.1486413509664868,1.14864135113631,2.355300504378215
14,21,1,1,653598244,3295739755,2642141512,0.7009394072135535,14335,2.192745715872114,2.1927457158598496,2.6432246555008847
15,21,0,1,653598244,3098957944,2445359701,0.8126004515191383,60655,0.11166104389486388,0.1116610443055833,0.6248525995251124
16,28,7,0,542986560,4182369535,3639382976,0.23895327056816384,1524,5.426352812506678,5.426352819049025,3.2905198963891293
17,29,1,0,1085973120,3962893809,2876920690,0.5781216961290419,25903,1.339168424682323,1.3391684255608782,2.5364850984437766
18,29,0,2,777835444,3546941843,2769106400,0.6332266572048084,15770,2.055104960322127,2.0551049610757666,2.9159911678876225
19,29,0,2,777835444,3330943431,2553107988,0.7503925857629312,60424,0.11716592845437898,0.11716592855812308,0.5382745989700692
20,32,3,0,1555670888,4282061105,2726390218,0.6556550815654205,34992,0.9052624949519067,0.9052624958024892,1.928252576457495
21,32,0,0,1555670888,4281270678,2725599791,0.6560734040932275,65517,0.000418322449221962,0.00041832252780797956,0.00492328406377429
22,32,0,0,1555670888,4277444457,2721773570,0.6581000949785505,65444,0.002026690572445132,0.002026690885322387,0.0195641536964379
23,34,2,1,1614916976,4158605751,2543688776,0.7557249804183037,7656,3.0976248855139743,3.0976248854397554,2.366146401854316
24,34,0,1,1614916976,3719546189,2104629214,1.0290810591552173,54224,0.2733560785160057,0.27335607873691437,0.8695745009424627
25,37,3,1,641154896,4102797231,3461642336,0.3111904758254447,13474,2.2821094160127195,2.282109416670225,2.172370882866461
26,37,0,1,641154896,2911273063,2270118168,0.9198797489599073,42978,0.608689272566594,0.6086892731344619,1.422974114356525
27,37,0,1,641154896,2910510999,2269356104,0.9203641336697181,65514,0.000484384451701118,0.0004843847098107947,0.005618655211859437
28,40,3,0,825553048,2220353827,1394800780,1.6225880700028448,10070,2.702223937105853,2.70222393633313,1.1423194640302243
29,41,1,0,1651106096,3615524307,1964418212,1.128545043169197,46150,0.5059569725795011,0.5059569731663505,1.0394070634025965
30,41,0,2,161973440,2892543527,2730570088,0.6534449577742407,22774,1.5248999133700782,1.5248999146050435,3.0568558357587547
31,45,4,0,235789128,3118853819,2883064692,0.5750439367284486,17299,1.9215989777757694,1.9215989789542094,2.713406482253387
32,48,3,0,755808968,3419617151,2663808184,0.6891569457198834,7569,3.1141130083025432,3.1141130089914326,2.250903928053673
33,48,0,0,755808968,3395147965,2639338998,0.7024704829873443,64934,0.013313536876051258,0.013313537267460845,0.09236554822325109
34,48,0,0,755808968,2515421996,1759613029,1.2873889572229125,43692,0.5849184738343288,0.5849184742355681,1.8678805005446686
35,48,0,2,1329613620,3566182303,2236568684,0.9413600824869377,20825,1.6539711248597277,1.6539711252640248,0.9756120458798248
36,58,10,0,987398144,3748162559,2760764416,0.6375793621693937,316,7.696219251822897,7.696219279682456,1.5133724991196134
