metric,pairs,pair_ids,F_auc,R_auc,R_minus_F,interval,conditioning
mean_nll_bits,0,[],,,,"[None, None]","both methods and their length-matched B controls delivered/scorable, metric available; no authentication filter"
mean_log2_rank,0,[],,,,"[None, None]","both methods and their length-matched B controls delivered/scorable, metric available; no authentication filter"
mean_admissible_nll_bits,0,[],,,,"[None, None]","both methods and their length-matched B controls delivered/scorable, metric available; no authentication filter"
member_fraction,0,[],,,,"[None, None]","both methods and their length-matched B controls delivered/scorable, metric available; no authentication filter"
format_accepted,0,[],,,,"[None, None]","both methods and their length-matched B controls delivered/scorable, metric available; no authentication filter"
format_and_kem_canonical,0,[],,,,"[None, None]","both methods and their length-matched B controls delivered/scorable, metric available; no authentication filter"
token_count,0,[],,,,"[None, None]","both methods and their length-matched B controls delivered/scorable, metric available; no authentication filter"
utf8_bytes,0,[],,,,"[None, None]","both methods and their length-matched B controls delivered/scorable, metric available; no authentication filter"
