method,family,metric,matched_scorable_pairs,encrypted_mean,control_mean,auc_higher_is_carrier,cluster_interval,bootstrap_valid_draws,context_auc
F,B,mean_nll_bits,8,5.816595716796447,1.0992831807620276,1.0,"[1.0, 1.0]",2000,"{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,B,mean_log2_rank,8,2.7437540137231684,0.40501081559640534,1.0,"[1.0, 1.0]",2000,"{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,B,mean_admissible_nll_bits,8,5.315413643519258,1.0537141119372373,1.0,"[1.0, 1.0]",2000,"{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,B,member_fraction,8,1.0,1.0,0.5,"[0.5, 0.5]",2000,"{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
F,B,format_accepted,8,1.0,1.0,0.5,"[0.5, 0.5]",2000,"{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
F,B,format_and_kem_canonical,8,1.0,1.0,0.5,"[0.5, 0.5]",2000,"{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
F,B,token_count,8,296.0,296.0,0.5,"[0.5, 0.5]",2000,"{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
F,B,utf8_bytes,8,1322.75,1399.75,0.453125,"[0.234375, 0.765625]",2000,"{'0': 0.75, '1': 0.5, '2': 0.25, '3': 0.5}"
R,B,mean_nll_bits,2,0.9821207726750056,0.708308707156398,0.5,"[0.0, 1.0]",1677,"{'0': None, '1': None, '2': 1.0, '3': 0.0}"
R,B,mean_log2_rank,2,0.34401030409253797,0.2505900292904537,0.5,"[0.0, 1.0]",1677,"{'0': None, '1': None, '2': 1.0, '3': 0.0}"
R,B,mean_admissible_nll_bits,2,0.9368637029333607,0.6792410398751716,0.5,"[0.0, 1.0]",1677,"{'0': None, '1': None, '2': 1.0, '3': 0.0}"
R,B,member_fraction,2,1.0,1.0,0.5,"[0.5, 0.5]",1677,"{'0': None, '1': None, '2': 0.5, '3': 0.5}"
R,B,format_accepted,2,1.0,0.0,1.0,"[1.0, 1.0]",1677,"{'0': None, '1': None, '2': 1.0, '3': 1.0}"
R,B,format_and_kem_canonical,2,1.0,0.0,1.0,"[1.0, 1.0]",1677,"{'0': None, '1': None, '2': 1.0, '3': 1.0}"
R,B,token_count,2,1173.0,1173.0,0.5,"[0.5, 0.5]",1677,"{'0': None, '1': None, '2': 0.5, '3': 0.5}"
R,B,utf8_bytes,2,4574.0,5535.5,0.5,"[0.0, 1.0]",1677,"{'0': None, '1': None, '2': 1.0, '3': 0.0}"
