position,stable_bits,released_bits,pending_underflow,low,high_inclusive,residual_width,residual_information_bits,selected_frequency,selected_information_bits,effective_interval_information_bits,table_entropy_bits
1,2,2,0,2002518016,4118282239,2115764224,1.0214682802906232,8071,3.021468280290624,3.021468280290624,3.421786471434915
2,5,3,0,1470000448,3855658911,2385658464,0.8482596275246514,9237,2.8267913472340265,2.8267913472340265,3.7747046238417297
3,6,1,1,1922285928,3958337091,2036051164,1.076873330611118,13983,2.2286137017398997,2.2286137030864692,1.3170437596448052
4,6,0,3,1246692768,4043529159,2796836392,0.6188512838170404,22506,1.5419779516173742,1.5419779532059223,3.07944193639602
5,11,5,1,1713016904,3497570591,1784553688,1.2670838407342693,5227,3.6482325560401074,3.6482325569172276,3.313358828499422
6,16,5,1,954142080,2166209567,1212067488,1.8251771156086214,1391,5.558093295457761,5.558093274874352,2.1694064364153895
7,22,6,0,1119564320,3278559519,2158995200,0.9922871101308068,3648,4.167109985835259,4.167109994522186,2.8619448282643867
8,22,0,0,1119564320,3260671115,2141106796,1.004290388488819,64993,0.012003277834232613,0.012003278358013143,0.07419323601575305
9,26,4,0,1763259552,3389998895,1626739344,1.4006640426642676,3112,4.396373655013808,4.396373654175445,2.031206420012229
10,29,3,0,758735224,3010792215,2252056992,0.931403808366742,11341,2.5307397639945943,2.530739765702476,3.1764878846911353
11,34,5,1,435566848,3664101695,3228534848,0.4117675467539499,1468,5.480363747156788,5.480363738387209,3.4462967084741707
12,34,0,1,435566848,2330193032,1894626185,1.1807339172722564,38459,0.7689663698319448,0.768966370518306,2.131004413784674
13,34,0,1,435566848,2255952919,1820386072,1.2384026927917695,62968,0.05766877548942421,0.057668775519511356,0.27145500785331894
14,36,2,0,871133696,4217359727,3346226032,0.36011224569675804,60234,0.12170955232248465,0.12170955290498801,0.4691486837717752
15,36,0,0,871133696,3183663040,2312529345,0.8931754730907961,45291,0.5330632268096265,0.5330632273940386,1.4016670368750876
16,41,5,0,1057839360,2515591007,1457751648,1.5589021922733686,1291,5.665726714692809,5.665726719182573,3.070057519968199
17,42,1,0,2115678720,3659868703,1544189984,1.4757968855624277,34711,0.9168946916349232,0.9168946932890608,2.5374964850400814
18,45,3,0,1018499008,4162674903,3144175896,0.44996521684324975,16680,1.9741683316679741,1.974168331280822,2.299609768272419
19,45,0,0,1018499008,2526442619,1507943612,1.5100646644953315,31431,1.060099447197423,1.06009944765208,2.8233159358106787
20,45,0,0,1018499008,2417332075,1398833068,1.6184233395782854,60794,0.10835867502818815,0.10835867508295381,0.5218213759019045
21,45,0,0,1018499008,2416969218,1398470211,1.6187976229113197,65519,0.0003742827947452993,0.0003742833330357577,0.004463541174757649
22,45,0,0,1018499008,2401050352,1382551345,1.6353140859506041,64790,0.016516462644879694,0.01651646303928194,0.114952021205628
23,45,0,0,1018499008,2400649526,1382150519,1.635732409310556,65517,0.000418322449221962,0.0004183233599549105,0.00492328406377429
24,45,0,0,1018499008,2400290996,1381791989,1.6361066931130708,65519,0.0003742827947452993,0.0003742838025131803,0.004463541174757649
25,45,0,0,1018499008,2399784968,1381285961,1.636635121270018,65512,0.0005284274673163702,0.0005284281569493484,0.0060578720056822695
26,45,0,0,1018499008,2399321279,1380822272,1.6371195062185215,65514,0.000484384451701118,0.00048438494850182887,0.005618655211859437
27,45,0,0,1018499008,2398899885,1380400878,1.637559849505358,65516,0.0004403427806028656,0.00044034328683659706,0.005158914338864347
28,45,0,0,1018499008,2398015228,1379516221,1.6384847253365642,65494,0.0009248751246666447,0.0009248758312057401,0.00989483726622136
29,45,0,0,1018499008,2379638798,1361139791,1.6578319047222259,64663,0.019347178487299267,0.019347179385663552,0.13823595819558143
30,45,0,0,1018499008,2379015717,1360516710,1.658492469994993,65506,0.0006605645820851047,0.0006605652727640302,0.007356409973988903
31,45,0,0,1018499008,2378351402,1359852395,1.6591970831839724,65504,0.0007046129765893727,0.0007046131889806301,0.0077918272920865375
32,45,0,0,1018499008,2377977907,1359478900,1.659593386046133,65518,0.0003963024539395264,0.0003963028621601756,0.004687653452683203
33,45,0,0,1018499008,2377480050,1358981043,1.6601218145299512,65512,0.0005284274673163702,0.0005284284838196767,0.006017359584538874
34,45,0,0,1018499008,2377044585,1358545578,1.660584178502031,65515,0.0004623634480924974,0.00046236397207909683,0.00539454427794825
35,45,0,0,1018499008,2376277583,1357778576,1.6613989192681728,65499,0.0008147398470877202,0.0008147407661426964,0.008741829307294032
36,45,0,0,1018499008,2375552451,1357053444,1.6621696073678862,65501,0.0007706880901105886,0.0007706880997138238,0.008512140657153975
37,45,0,0,1018499008,2375241846,1356742839,1.6624998519761043,65521,0.00033024448458043404,0.00033024460821839,0.0039922782726164955
38,45,0,0,1018499008,2374869205,1356370198,1.662896154908406,65518,0.0003963024539395264,0.00039630293230020396,0.004699172121844633
39,45,0,0,1018499008,2374455273,1355956266,1.6633364983967205,65516,0.0004403427806028656,0.0004403434883135245,0.005147395669702917
