position,stable_bits,released_bits,pending_underflow,low,high_inclusive,residual_width,residual_information_bits,selected_frequency,selected_information_bits,effective_interval_information_bits,table_entropy_bits
1,5,5,0,266338304,3938451455,3672113152,0.2260366315664406,1751,5.226036631566442,5.226036631566442,2.6743532331510416
2,8,3,0,466770432,4227638271,3760867840,0.191581536239255,8390,2.9655449046728144,2.9655449046728144,3.063525254807246
3,9,1,0,217756416,2439179665,2221423250,0.9511628488058932,19355,1.7595813128203266,1.7595813125666364,2.078739401822375
4,10,1,0,435512832,2675850175,2240337344,0.9389311602164803,33047,0.9877683103384027,0.9877683114105874,2.5076444125226156
5,10,0,3,176568552,2750823359,2574254808,0.738492282803314,9413,2.799561120402024,2.7995611225868338,1.863726836900083
6,19,9,0,1000857280,2866186431,1865329152,1.203216918182708,742,6.464724623379197,6.464724635379393,2.1807638645833762
7,19,0,0,1000857280,2621407520,1620550241,1.4061633976085446,56936,0.20294647937019522,0.2029464794258359,0.7713969707788894
8,19,0,0,1000857280,2615176156,1614318877,1.4117215631679336,65284,0.005558165417950964,0.0055581655593895316,0.04954716812594983
9,20,1,0,2001714560,3334532639,1332818080,1.6881672695573187,27054,1.2764457046413231,1.2764457063893864,2.7328878434724375
10,24,4,0,216110352,4228881983,4012771632,0.09804809175376761,12332,2.409880825892825,2.40988082219645,2.8989227564186817
11,24,0,1,1838773258,3749762677,1910989420,1.168327355011705,15605,2.0702792631934273,2.070279263257937,2.338484168163239
12,32,8,1,1179216896,4150208255,2970991360,0.5317027363649061,398,7.363375379456351,7.363375381353202,1.2735890938251024
13,36,4,0,305531504,2802513375,2496981872,0.7824617986245208,6885,3.2507590609776735,3.250759062259613,1.1059473562416
14,38,2,0,1825565356,3264408487,1438843132,1.5777378333114491,9441,2.79527603598042,2.7952760346869274,2.945755727263417
15,38,0,1,1503647064,3664019441,2160372378,0.9913671384439944,49200,0.41362930488603544,0.41362930513254714,1.1864093944686553
16,41,3,1,677690640,3590712287,2913021648,0.5601307231670596,11046,2.568763587928937,2.5687635847230657,3.2166533267119375
17,43,2,1,563278912,3829760459,3266481548,0.3949096558794807,18372,1.834778931779056,1.834778932712421,2.8730981057740816
18,43,0,1,563278912,3560710358,2997431447,0.5189203872713506,60138,0.12401073122271737,0.12401073139186937,0.5757215813569083
19,43,0,3,225399704,2352910095,2127510392,1.0134809671223621,11629,2.4945605784175076,2.494560579851009,3.002676170417591
20,47,4,0,450799408,4224520307,3773720900,0.18665941917382511,58123,0.17317845131626608,0.1731784520514663,0.7249784786317944
21,48,1,0,1950048948,3703663697,1753614750,1.292315307758706,15227,2.10565588817564,2.1056558885848804,1.91913809052554
22,49,1,1,1422946256,3916260195,2493313940,0.7845825980556604,23295,1.4922672900041802,1.492267290296954,1.142925181245108
23,54,5,2,765485376,2267804415,1502319040,1.5154559226762174,617,6.730873320850582,6.730873324620557,2.824038223081751
24,57,3,1,914457856,3950363683,3035905828,0.500520106111658,33109,0.9850641831625644,0.9850641834354392,2.5424468207672453
25,59,2,0,1828915712,3400882695,1571966984,1.4500762290022529,16967,1.9495561214351917,1.9495561228905962,3.476033137101975
26,59,0,2,873211904,3973778615,3100566712,0.4701152150726351,32316,1.020038984777172,1.02003898607038,2.4251619942191738
27,63,4,0,1280799944,3336552883,2055752940,1.0629802538817152,10863,2.592865037802666,2.5928650388090824,2.421761227288165
28,63,0,1,414116240,3219446087,2805329848,0.6144767345035298,44716,0.5514964805311633,0.5514964806218133,1.835509380730118
29,63,0,4,1675035552,3338303015,1663267464,1.3686269641837114,4857,3.754150228976278,3.754150229680182,3.4381318828785625
30,73,10,2,1898991104,3484292863,1585301760,1.437889664501423,244,8.069262662437113,8.069262700317713,2.7015400445068805
31,73,0,2,1898991104,3387098306,1488107203,1.5291686843087575,61518,0.09127901957253502,0.0912790198073317,0.486977956400002
32,73,0,4,1153513472,3445710827,2292197356,0.905915881908065,25237,1.3767471975452585,1.3767471975993086,2.999301115932326
33,79,6,0,319086592,3534794367,3215707776,0.41751083690697754,22985,1.5115949542958338,1.511594954998915,3.046738809207819
34,83,4,1,367177760,2219978143,1852800384,1.2129396885698291,1180,5.795428855750797,5.79542885166285,3.3218472376410872
35,85,2,0,734355520,4103186295,3368830776,0.35039918557345473,59580,0.1374594968631076,0.13745949700362647,0.7023369762153446
36,88,3,0,146951600,2467957567,2321005968,0.8878969137264612,5644,3.537497727402736,3.5374977281530047,2.7020767094668305
37,91,3,1,1917119424,4064729935,2147610512,0.9999147743649388,3790,4.112017866941546,4.112017860638477,2.948518553097039
38,91,0,2,1686755200,3992513421,2305758222,0.8974059037130715,35181,0.8974911292683969,0.897491129348136,1.1507170486227762
39,91,0,2,1686755200,3846609195,2159853996,0.9917133550907771,61389,0.0943074512910508,0.09430745137770528,0.4510206777484873
40,91,0,4,304569856,3913993827,3609423972,0.25087853024415807,27380,1.259165173854738,1.2591651751533801,2.5958174959570313
41,91,0,6,221247284,2249565551,2028318268,1.082363099373083,9207,2.831484568812359,2.831484569128926,3.395287300419475
42,98,7,0,442494568,2284248159,1841753592,1.221567089676327,29754,1.1392039892653738,1.1392039903032436,1.905600826120449
43,101,3,0,376585232,3298840263,2922255032,0.5555650550229103,12998,2.3339979673550997,2.333997965346582,2.9543398432923054
44,102,1,0,753170464,2932465695,2179295232,0.978785492519819,24437,1.4232204363896424,1.4232204374969097,3.127106791848855
45,103,1,0,1506340928,3420540003,1914199076,1.165906268633485,28782,1.1871207750773556,1.1871207761136668,2.1274688938464936
46,104,1,0,927268570,2471865059,1544596490,1.4754171479543992,26441,1.3095108797713928,1.3095108793209118,1.1518352637967828
47,105,1,0,1854537140,4147910339,2293373200,0.9051760026175266,48653,0.4297588544640493,0.42975885466312985,1.5430870626127111
48,109,4,0,991131424,3672519183,2681387760,0.6796672810469353,4789,3.774491279763999,3.7744912784294065,3.184400276857133
49,109,0,0,991131424,3654353042,2663221619,0.6894746591366925,65092,0.009807377667075562,0.009807378089757847,0.07111953151460623
50,110,1,0,1982262848,4151575841,2169312994,0.9854089222731162,26691,1.2959342622162808,1.2959342631364235,2.9939327301879293
51,112,2,3,2023771040,4124233759,2100462720,1.0319399655920272,1983,5.046531037771152,5.046531043318912,2.339619186310325
52,116,4,1,759251448,2729845471,1970594024,1.1240165588204825,15371,2.092076594126437,2.092076593228456,2.3468821735936203
53,118,2,0,1518502896,3607448023,2088945128,1.0398725495407426,34736,0.9158559893848556,0.9158559907202598,1.0424183139595848
54,120,2,0,709166528,2596918087,1887751560,1.185978236578972,14806,2.1461056867523856,2.1461056870382293,2.6257263519957244
55,121,1,1,689182464,3239214047,2550031584,0.7521320299892196,22132,1.5661537915571757,1.5661537934102467,2.8260520767538204
56,121,0,3,432243732,2371070847,1938827116,1.1474629810473118,12457,2.3953309522687203,2.3953309510580927,3.22007870423268
57,121,0,3,432243732,2252734231,1820490500,1.2383199337337274,61536,0.0908569526601028,0.09085695268641554,0.38997914101197023
58,125,4,0,864487464,3356550507,2492063044,0.7853065800131063,44856,0.5469866455336858,0.5469866462793793,1.913284395462964
59,125,0,0,864487464,3284719649,2420232186,0.8275016863145588,63647,0.04219510612161046,0.04219510630145122,0.22778674734944127
60,125,0,0,864487464,3269393776,2404906313,0.8366664534333843,65121,0.009164766608617297,0.009164767118825943,0.07527724271852304
61,125,0,0,864487464,2657048322,1792560859,1.2606250455038435,48849,0.42395859172275846,0.42395859207046,1.0907730827462867
62,126,1,0,1728974928,3440737067,1711762140,1.3271649018000247,31291,1.066539855384411,1.0665398562961808,2.5417270464305486
63,127,1,3,376860288,4077041439,3700181152,0.2150512426520237,8854,2.887886341902134,2.8878863408519972,1.8111690681636488
64,127,0,3,376860288,3932785414,3555925127,0.2724221986860442,62981,0.057370955965677935,0.05737095603402361,0.35228670186705896
65,127,0,3,376860288,3931049122,3554188835,0.2731268118388357,65504,0.0007046129765893727,0.0007046131527893859,0.007828301283870643
66,127,0,3,376860288,3926222419,3549362132,0.2750873697586549,65447,0.0019605579105596736,0.00196055791981958,0.019049146783121567
67,127,0,4,727535388,2324358403,1596823016,1.4274427256181141,14742,2.152355356916679,2.1523553558594593,2.801899863435476
68,133,6,1,1911661336,4155439375,2243778040,0.9367171779232066,11511,2.5092744496760506,2.5092744523050934,2.3578038566209916
69,133,0,1,1911661336,4110383041,2198721706,0.9659821333539682,64220,0.02926495538686784,0.029264955430760842,0.14585207094842184
70,133,0,1,1911661336,3554059748,1642398413,1.386843007486572,48954,0.42086087411711126,0.4208608741326057,1.4681836608194396
71,133,0,1,1911661336,3551904501,1640243166,1.3887374358186015,65450,0.0018944282800345323,0.0018944283320277415,0.019249903804323377
72,133,0,3,1204194400,3433799839,2229605440,0.9458587184327172,22271,1.5571212817837226,1.5571212826141148,2.7497589475727486
73,133,0,4,260905152,3965732623,3704827472,0.21324078596184393,54449,0.2673820675283673,0.26738206752912785,0.714870288804926
74,138,5,1,641458984,2305736951,1664277968,1.3677507332295704,7360,3.1545099490556248,3.1545099472677274,2.1514462071682647
