method,family,metric,matched_scorable_pairs,encrypted_mean,control_mean,auc_higher_is_carrier,cluster_interval,context_auc
F,A,mean_nll_bits,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,A,mean_log2_rank,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,A,mean_admissible_nll_bits,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,A,member_fraction,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,A,format_accepted,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,A,format_and_kem_canonical,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,A,token_count,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,A,utf8_bytes,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,B,mean_nll_bits,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,B,mean_log2_rank,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,B,mean_admissible_nll_bits,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,B,member_fraction,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,B,format_accepted,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,B,format_and_kem_canonical,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,B,token_count,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
F,B,utf8_bytes,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,A,mean_nll_bits,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,A,mean_log2_rank,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,A,mean_admissible_nll_bits,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,A,member_fraction,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,A,format_accepted,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,A,format_and_kem_canonical,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,A,token_count,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,A,utf8_bytes,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,B,mean_nll_bits,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,B,mean_log2_rank,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,B,mean_admissible_nll_bits,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,B,member_fraction,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,B,format_accepted,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,B,format_and_kem_canonical,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,B,token_count,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
R,B,utf8_bytes,0,,,,"[None, None]","{'0': None, '1': None, '2': None, '3': None}"
