case_id,attempt_id,method,kind,failure_category,serialization_status,first_transport_divergence,first_rank_divergence,error
control-F-c0-n128-r1-A,e9be092b-d35f-4376-9a4e-35fd9069aa6f,F,control,,retokenization_drift,"{'actual': 5450, 'expected': 13, 'position': 35}",,
control-F-c2-n32-r1-A,a23f0226-cf65-441a-8228-b7c6bfd5c7f7,F,control,,retokenization_drift,"{'actual': 5570, 'expected': 320, 'position': 192}",,
control-F-c3-n128-r0-A,9701e770-d2f0-4b23-82c5-3a14b49ecd02,F,control,,retokenization_drift,"{'actual': 38927, 'expected': 330, 'position': 34}",,
control-F-c3-n128-r1-A,0fec6120-4bc5-4bdc-a4cb-afc06e4780e2,F,control,,retokenization_drift,"{'actual': 18613, 'expected': 1365, 'position': 318}",,
Calgacus-c0-n32,407ce1fb-6006-4265-a94f-b66238b4955e,Calgacus,encrypted,tokenization_serialization_drift,retokenization_drift,"{'actual': 45, 'expected': 19480, 'position': 97}","{'actual': 24, 'expected': 1022, 'position': 97}",HPKE authentication failed
Calgacus-c1-n128,4f558ed6-6ac8-4bde-a5b4-a7a4914ce7ff,Calgacus,encrypted,tokenization_serialization_drift,retokenization_drift,"{'actual': 343, 'expected': 33339, 'position': 10}","{'actual': 15, 'expected': 40, 'position': 10}",Invalid Base64 length
Calgacus-c3-n32,d8d04eb5-3e51-4eb5-87f4-095181665598,Calgacus,encrypted,tokenization_serialization_drift,retokenization_drift,"{'actual': 13, 'expected': 5253, 'position': 48}","{'actual': 1, 'expected': 48, 'position': 48}",Invalid Base64
Calgacus-c3-n128,f48b6571-c829-4f6e-96cb-f5c9c5c07b5e,Calgacus,encrypted,tokenization_serialization_drift,retokenization_drift,"{'actual': 92, 'expected': 11281, 'position': 106}","{'actual': 2, 'expected': 20, 'position': 106}",Invalid Base64 length
