method,family,metric,matched_scorable_pairs,encrypted_mean,control_mean,encrypted_median,control_median,auc_higher_is_stego,auc_cluster_interval,context_auc
L,B,encrypted_body_log2_rank,16,2.750117174778545,0.36410115011522975,2.74451005074486,0.38292276545280807,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,B,token_count,16,304.0,304.0,304.0,304.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
L,B,utf8_bytes,16,1366.375,1498.8125,1369.5,1506.5,0.3671875,"[0.2734375, 0.44140625]","{'0': 0.25, '1': 0.4375, '2': 0.375, '3': 0.375}"
L,C,prefix_match,16,1,0,1.0,0.0,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,C,format_accepted,16,1.0,0.0,1.0,0.0,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,C,format_and_kem_canonical,16,1.0,0.0,1.0,0.0,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,C,member_fraction,16,1.0,1.0,1.0,1.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
L,C,mean_nll_bits,16,5.766682173866449,5.877916358850443,5.83500098425475,5.848236181500252,0.421875,"[0.15625, 0.71484375]","{'0': 0.375, '1': 0.375, '2': 0.375, '3': 0.4375}"
L,C,mean_log2_rank,16,2.704897392721955,2.7663333083052297,2.7050408032500153,2.7706786911182975,0.203125,"[0.0, 0.453125]","{'0': 0.25, '1': 0.1875, '2': 0.25, '3': 0.0}"
L,C,after_eight_nll_bits,16,5.836167775157254,5.848502078425855,5.895551336273116,5.813037572872183,0.51171875,"[0.23408203125000002, 0.8125]","{'0': 0.5, '1': 0.75, '2': 0.375, '3': 0.5625}"
L,C,encrypted_body_nll_bits,16,5.622892871702843,5.6701573580228875,5.581905746351168,5.611511920854609,0.44140625,"[0.15615234375, 0.765625]","{'0': 0.4375, '1': 0.5625, '2': 0.25, '3': 0.5}"
L,C,encrypted_body_log2_rank,16,2.750117174778545,2.748749235137726,2.74451005074486,2.7450207847875636,0.49609375,"[0.296875, 0.6875]","{'0': 0.5625, '1': 0.375, '2': 0.375, '3': 0.625}"
L,C,token_count,16,304.0,304.0,304.0,304.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
L,C,utf8_bytes,16,1366.375,1314.9375,1369.5,1212.5,0.51171875,"[0.359375, 0.640625]","{'0': 0.375, '1': 0.375, '2': 0.6875, '3': 0.5}"
F,A,prefix_match,16,0,0,0.0,0.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
F,A,format_accepted,16,1.0,0.0,1.0,0.0,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,A,format_and_kem_canonical,16,1.0,0.0,1.0,0.0,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,A,member_fraction,16,1.0,0.9662560504971219,1.0,0.9693877551020409,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,A,mean_nll_bits,16,5.750245782518279,1.5312155220361856,5.73097156143328,1.4007798927214123,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,A,mean_log2_rank,16,2.749612121173376,0.6431779791532073,2.754861219638562,0.5575611611734813,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,A,after_eight_nll_bits,16,5.715355314615395,1.4703376356302027,5.714022084845725,1.3148922353073962,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,A,encrypted_body_nll_bits,16,5.5809600883565365,1.4606729332724429,5.511623833952649,1.3199700005768777,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,A,encrypted_body_log2_rank,16,2.7618131429371893,0.6127004253430003,2.7781860766573856,0.5078630972299611,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,A,token_count,16,296.0,295.875,296.0,295.0,0.515625,"[0.5, 0.5625]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5625}"
F,A,utf8_bytes,16,1244.125,1451.0625,1084.0,1350.5,0.3125,"[0.25, 0.40234375]","{'0': 0.25, '1': 0.375, '2': 0.25, '3': 0.4375}"
F,B,prefix_match,16,0,0,0.0,0.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
F,B,format_accepted,16,1.0,1.0,1.0,1.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
F,B,format_and_kem_canonical,16,1.0,1.0,1.0,1.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
F,B,member_fraction,16,1.0,1.0,1.0,1.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
F,B,mean_nll_bits,16,5.750245782518279,0.9450504332382567,5.73097156143328,0.9162446766717226,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,B,mean_log2_rank,16,2.749612121173376,0.33680177011519646,2.754861219638562,0.32363605378235905,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,B,after_eight_nll_bits,16,5.715355314615395,0.9094658502800064,5.714022084845725,0.8834890666533023,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,B,encrypted_body_nll_bits,16,5.5809600883565365,0.8784920057092055,5.511623833952649,0.8497585818598895,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,B,encrypted_body_log2_rank,16,2.7618131429371893,0.3079158079440558,2.7781860766573856,0.2830276328350023,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
F,B,token_count,16,296.0,296.0,296.0,296.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
F,B,utf8_bytes,16,1244.125,1448.3125,1084.0,1426.0,0.30859375,"[0.25, 0.40625]","{'0': 0.25, '1': 0.4375, '2': 0.3125, '3': 0.25}"
F,C,prefix_match,16,0,0,0.0,0.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
F,C,format_accepted,16,1.0,1.0,1.0,1.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
F,C,format_and_kem_canonical,16,1.0,0.5625,1.0,1.0,0.71875,"[0.59375, 0.84375]","{'0': 0.625, '1': 0.625, '2': 0.75, '3': 0.875}"
F,C,member_fraction,16,1.0,1.0,1.0,1.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
F,C,mean_nll_bits,16,5.750245782518279,5.858738813753633,5.73097156143328,5.874265657133975,0.3671875,"[0.16796875, 0.5234375]","{'0': 0.4375, '1': 0.375, '2': 0.125, '3': 0.4375}"
F,C,mean_log2_rank,16,2.749612121173376,2.7614821520229285,2.754861219638562,2.759342346969527,0.45703125,"[0.265625, 0.65625]","{'0': 0.25, '1': 0.625, '2': 0.5, '3': 0.4375}"
F,C,after_eight_nll_bits,16,5.715355314615395,5.846455934438894,5.714022084845725,5.8511918937473855,0.34765625,"[0.15234375, 0.515625]","{'0': 0.375, '1': 0.375, '2': 0.0625, '3': 0.4375}"
F,C,encrypted_body_nll_bits,16,5.5809600883565365,5.667005239912877,5.511623833952649,5.642049895954945,0.41015625,"[0.1794921875, 0.609375]","{'0': 0.4375, '1': 0.5, '2': 0.25, '3': 0.4375}"
F,C,encrypted_body_log2_rank,16,2.7618131429371893,2.7476358168256096,2.7781860766573856,2.7579964033087725,0.5625,"[0.34375, 0.7774414062499995]","{'0': 0.3125, '1': 0.875, '2': 0.4375, '3': 0.375}"
F,C,token_count,16,296.0,296.0,296.0,296.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
F,C,utf8_bytes,16,1244.125,1278.0,1084.0,1217.0,0.4609375,"[0.375, 0.5625976562499995]","{'0': 0.4375, '1': 0.375, '2': 0.375, '3': 0.5625}"
