method,family,metric,matched_scorable_pairs,encrypted_mean,control_mean,encrypted_median,control_median,auc_higher_is_stego,auc_cluster_interval,context_auc
L,A,prefix_match,16,1,0.0625,1.0,0.0,0.96875,"[0.875, 1.0]","{'0': 0.875, '1': 1.0, '2': 1.0, '3': 1.0}"
L,A,format_accepted,16,1.0,0.0,1.0,0.0,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,A,format_and_kem_canonical,16,1.0,0.0,1.0,0.0,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,A,member_fraction,16,1.0,0.9729927884615385,1.0,0.9754807692307692,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,A,mean_nll_bits,16,5.766682173866449,1.4025902685039564,5.83500098425475,1.4749927073972358,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,A,mean_log2_rank,16,2.704897392721955,0.5611924532269528,2.7050408032500153,0.5922261516839422,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,A,after_eight_nll_bits,16,5.836167775157254,1.3641938459725247,5.895551336273116,1.4723723013060654,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,A,encrypted_body_nll_bits,16,5.622892871702843,1.2935953294327711,5.581905746351168,1.3709527311414076,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,A,encrypted_body_log2_rank,16,2.750117174778545,0.5030013212151273,2.74451005074486,0.5063843864494881,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,A,token_count,16,304.0,304.0,304.0,304.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
L,A,utf8_bytes,16,1366.375,1491.8125,1369.5,1494.5,0.37109375,"[0.28115234375, 0.484375]","{'0': 0.3125, '1': 0.3125, '2': 0.4375, '3': 0.375}"
L,B,prefix_match,16,1,0.0625,1.0,0.0,0.96875,"[0.875, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 0.875}"
L,B,format_accepted,16,1.0,0.0,1.0,0.0,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,B,format_and_kem_canonical,16,1.0,0.0,1.0,0.0,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,B,member_fraction,16,1.0,1.0,1.0,1.0,0.5,"[0.5, 0.5]","{'0': 0.5, '1': 0.5, '2': 0.5, '3': 0.5}"
L,B,mean_nll_bits,16,5.766682173866449,1.08522453419782,5.83500098425475,1.1335645103326721,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,B,mean_log2_rank,16,2.704897392721955,0.39514701396243335,2.7050408032500153,0.4018018667170905,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,B,after_eight_nll_bits,16,5.836167775157254,1.0558322573127976,5.895551336273116,1.102314376640639,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
L,B,encrypted_body_nll_bits,16,5.622892871702843,1.0085164871982994,5.581905746351168,1.090430693291197,1.0,"[1.0, 1.0]","{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}"
