method,payload_bytes,planned,attempted,delivered,authenticated_exact,recovery_fraction,recovery_cluster_interval,mean_success_payload_bits_per_token,mean_attempt_useful_bits_per_transmitted_token,attempt_rate_cluster_interval,aggregate_recovered_bits_per_delivered_token,recovered_bytes_per_charged_second
L,32,8,8,8,8,1.0,"[1.0, 1.0]",1.2307692307692308,1.2307692307692308,"[1.2307692307692308, 1.2307692307692308]",1.2307692307692308,0.8506021915709887
L,128,8,8,8,8,1.0,"[1.0, 1.0]",2.56,2.56,"[2.56, 2.56]",2.56,2.070929271269972
F,32,8,8,8,8,1.0,"[1.0, 1.0]",1.28,1.28,"[1.28, 1.28]",1.28,0.8757507944304306
F,128,8,8,8,8,1.0,"[1.0, 1.0]",2.6122448979591835,2.6122448979591835,"[2.6122448979591835, 2.6122448979591835]",2.6122448979591835,2.1071596621541975
Calgacus,32,4,4,4,2,0.5,"[None, None]",2.602270381836945,1.3011351909184725,"[None, None]",1.3027989821882953,0.46688611902404314
Calgacus,128,4,4,4,2,0.5,"[None, None]",5.435458436584817,2.7177292182924084,"[None, None]",2.716180371352785,1.2466179700709958
